Exporters,Imported value in 2008,Imported value in 2009,Imported value in 2010,Imported value in 2011,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019
World,3186,5182,12036,6479,19768,17756,13458,11308,10620,14940,12452,12333
India,528,1733,4225,1501,404,1,64,556,2610,7375,6594,7310
China,1534,2928,5523,1988,307,507,1742,8437,2870,4383,3937,3220
Türkiye,0,42,352,489,1067,36,17,152,853,2248,1640,1642
Pakistan,1057,337,106,244,5026,102,146,116,3067,892,116,126
"Iran, Islamic Republic of",62,14,143,79,98,4852,427,442,936,18,144,28
United States of America,0,1,9,23,0,0,9,52,1,5,1,4
Canada,0,0,0,0,0,0,564,0,0,0,0,1
United Arab Emirates,5,50,456,266,6545,10276,6840,839,229,4,5,1
Marshall Islands,0,0,0,0,0,0,0,258,0,0,0,0
Turkmenistan,0,0,0,0,136,0,0,0,0,0,0,0
Australia,0,0,0,0,6,0,0,0,0,1,0,0
Bangladesh,0,0,0,0,10,0,0,0,0,0,0,0
France,0,0,1,1,0,0,0,0,0,0,0,0
Germany,0,0,17,18,0,0,0,34,0,0,0,0
"Hong Kong, China",0,0,1,0,6,0,0,0,0,0,0,0
Indonesia,0,0,0,0,0,0,0,14,0,0,0,0
Italy,0,0,8,0,0,0,0,66,0,0,0,0
Japan,0,10,20,42,0,0,0,115,49,0,0,0
Kenya,0,0,0,0,0,0,0,3,0,0,0,0
"Korea, Republic of",0,0,0,0,0,0,0,11,0,1,0,0
Malaysia,0,0,0,0,0,0,0,0,0,6,10,0
Netherlands,0,0,0,0,247,0,0,0,0,0,0,0
Russian Federation,0,0,2,0,0,0,0,0,0,0,2,0
Saudi Arabia,0,67,0,11,6,0,0,0,0,0,1,0
Spain,0,0,0,0,0,0,0,0,0,1,0,0
Sweden,0,0,1,0,0,0,0,0,0,0,0,0
Tajikistan,0,0,960,1816,5910,1968,3649,214,3,0,0,0
Thailand,0,0,2,2,0,13,0,0,2,4,1,0
United Kingdom,0,0,211,0,0,0,0,0,2,0,0,0
HHI,0.290974972,0.490079181,0.45296114,0.287591586,0.331837245,0.458865859,0.389302298,0.66743361,0.257232906,0.432919288,0.471489329,0.476059265
