Exporters,Imported value in 2008,Imported value in 2009,Imported value in 2010,Imported value in 2011,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019
World,468777,536864,1004351,737799,570971,562031,301136,161208,176619,384911,362430,234334
Japan,285133,264669,437707,362309,39551,31075,111332,28394,78148,233946,227375,126043
Germany,49962,120947,355099,212960,61997,150185,33296,10020,10527,35568,41101,51354
China,54605,48467,40076,37798,54693,21099,40181,48284,33842,34061,27092,19549
"Korea, Republic of",0,10317,16484,10464,2638,2873,5765,4159,5685,11940,12629,10114
Canada,35654,4406,31261,16741,13741,2759,162,1102,6022,16298,9346,6556
"Iran, Islamic Republic of",2578,2597,7843,21078,18899,14584,7431,5084,11030,9739,10090,4976
Pakistan,4512,19080,26170,16544,134713,104822,35827,6645,7152,5596,2726,3534
India,681,7450,2174,1734,3739,1420,335,2528,2046,9321,7529,2897
Belarus,0,0,0,0,0,0,0,0,0,5475,4232,1855
United States of America,6670,9365,13555,16196,39218,4424,12135,5792,4536,3796,6040,1445
Russian Federation,9140,20882,30812,5669,6466,19407,3940,5145,2644,1489,4333,1408
Thailand,3417,10569,16108,9086,3550,2090,2603,3244,3016,4215,2170,960
United Arab Emirates,2849,4122,8563,11149,146625,190839,29502,34670,1952,965,1089,875
Finland,0,0,0,0,0,0,0,0,0,0,911,833
Türkiye,578,3752,2861,1660,12931,6942,4892,1557,591,488,1626,661
American Samoa,0,0,0,0,0,0,0,0,0,6688,2103,610
Italy,287,687,1129,275,2204,136,113,51,28,188,210,267
Ukraine,0,0,45,8,16,112,0,64,0,0,424,78
Sweden,100,516,840,871,219,2,7,0,31,1878,160,73
United Kingdom,1009,2062,4550,490,5891,114,176,387,375,273,210,51
Belgium,68,808,217,169,72,83,0,51,0,89,36,37
France,270,50,515,359,984,100,1,707,16,136,53,35
Netherlands,4,375,614,35,1,75,1,24,8,107,107,28
"Hong Kong, China",0,42,98,1007,0,1,0,10,0,0,1,21
Mexico,0,0,0,0,659,0,0,2,0,2,0,20
Indonesia,0,343,193,606,1098,0,165,429,122,30,15,14
Malaysia,67,772,40,273,161,0,62,23,50,0,0,11
Oman,0,0,0,0,0,0,0,0,0,0,0,9
Uzbekistan,45,835,450,340,263,36,377,12,0,453,53,8
South Africa,0,0,0,0,0,22,0,0,1,0,0,2
Brazil,0,0,63,30,555,0,0,5,1,0,0,1
Czech Republic,0,0,0,0,103,0,0,5,1,0,0,1
Denmark,0,69,6,5,26,25,7,4,0,4,5,1
Hungary,15,521,2,0,0,0,0,10,15,1,0,1
Poland,0,0,48,482,0,0,0,0,0,0,0,1
Eswatini,0,0,0,0,0,0,0,0,0,0,0,1
"Korea, Democratic People's Republic of",9891,0,0,0,0,0,0,0,0,0,0,0
Marshall Islands,0,0,0,0,343,376,0,339,0,0,0,0
Turkmenistan,10,0,0,2,84,439,0,3,0,0,0,0
Albania,0,0,0,0,75,0,0,0,0,0,0,0
Australia,33,34,55,206,24,7,179,0,8,0,0,0
Austria,0,0,2,0,0,0,0,0,0,4,6,0
Bangladesh,0,120,0,0,0,0,0,0,0,0,0,0
Bulgaria,0,0,0,1,0,3,0,0,0,0,0,0
Myanmar,0,0,0,0,0,0,0,416,0,0,0,0
Sri Lanka,0,1,81,1,0,0,0,0,21,0,0,0
Colombia,0,0,0,3,0,0,0,0,0,0,0,0
Cuba,0,0,0,26,0,0,0,0,0,0,0,0
Greece,0,13,0,0,0,0,0,0,0,2,1,0
Ireland,0,0,0,24,0,0,0,48,18,0,0,0
Kazakhstan,238,177,34,218,0,22,0,784,153,0,0,0
Jordan,0,0,0,0,0,0,0,0,0,75,0,0
Kenya,0,0,0,4,0,73,60,0,0,0,0,0
Kyrgyzstan,0,0,0,0,107,0,0,0,0,0,0,0
Lebanon,0,12,0,0,0,0,0,0,0,564,564,0
Luxembourg,0,0,0,0,0,1,0,0,0,0,0,0
"Taipei, Chinese",525,420,1872,2000,572,7,2323,596,616,1335,0,0
Nepal,0,4,0,0,0,0,0,0,0,0,0,0
New Zealand,0,0,28,0,0,0,0,0,0,0,0,0
Norway,0,35,0,0,0,0,0,0,0,0,24,0
Philippines,0,0,0,0,0,0,42,0,0,0,0,0
Portugal,0,0,0,0,0,0,236,18,1,115,4,0
Romania,0,0,0,0,0,0,0,0,0,0,2,0
Saudi Arabia,58,1038,533,2384,2826,120,0,0,34,0,0,0
Singapore,7,354,2,75,3,1,37,57,18,0,0,0
Slovakia,0,141,52,66,179,0,0,0,0,0,0,0
Viet Nam,0,0,52,61,0,0,0,51,0,0,0,0
Spain,0,1,170,30,0,30,263,0,2,0,0,0
Sudan,0,0,0,0,90,0,0,0,0,0,55,0
Switzerland,0,0,0,2,0,278,20,4,3,8,13,0
Tajikistan,370,809,3947,4359,15608,7435,9666,354,28,61,97,0
Uganda,0,0,0,0,0,14,0,0,0,0,0,0
Egypt,0,0,0,0,48,0,0,0,0,0,0,0
Samoa,0,0,0,0,0,0,0,132,7879,0,0,0
HHI,0.550512453,0.468201571,0.484133141,0.499028673,0.278734273,0.376668236,0.318880966,0.312473214,0.396670515,0.547504873,0.573828961,0.507869019
