Exporters,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017
World,180,188,2000,72,191
United States of America,112,128,103,61,179
Panama,29,2,0,0,6
Canada,3,53,303,2,3
France,6,1,1577,3,2
Senegal,0,0,2,0,1
Argentina,1,0,0,0,0
China,2,0,0,0,0
Cuba,1,0,0,0,0
Dominican Republic,2,2,0,0,0
"Hong Kong, China",0,1,0,5,0
Italy,0,0,0,0,0
"Taipei, Chinese",0,0,12,0,0
Niger,0,0,1,0,0
Viet Nam,0,0,0,1,0
Eswatini,0,0,2,0,0
Türkiye,1,0,0,0,0
United Kingdom,21,0,0,0,0
HHI,0.494811467,0.555726634,0.685863878,0.731633305,0.887666773
