code,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
68,0,0,0,0,0,0,0,0,0,1,0,0.28495926,1,0,1,0,1,0
69,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0
70,0,0,1,0.130590976,0,0,0,0,0.380730329,0,0.624987994,1,0,0,0,0,0,0
71,0.679987052,0.071563421,0.46891692,0.959517412,0.739337351,0.789003634,0.82675261,0.886116477,0.865718622,0.642662197,0.96071662,0.968474113,0.922886533,0.878193251,0.284228144,0.192023132,0.426404857,0.228249994
72,0.79371671,1,1,1,1,1,0.32365634,0,0.34392305,0.27898243,0.19430217,0.52884215,0.53286698,0.68439903,0.22932464,0.04781085,0.37541001,0.59429343
73,0.214808915,0.223837238,0,1,0.603553391,0,1,0,1,0.511593741,0.94605444,0.409234371,0.489158466,0.78891972,0.194093083,0.271904556,0.343297248,0.456876855
74,0,0,0,0,0,0,0.284959256,0,0.144172502,1,0.765493476,0.548408321,0,0.317452619,0,0,0,0
75,0,0,0,0,0,0,0,0,0,0,0,1,0.524588792,1,0,0,0,0
76,1,0.130590976,0.332790062,1,1,1,0.607342196,0.293668048,0.133959817,0.304372987,0.270242592,0.476725256,0.590998143,0.467707964,0.603553391,0.545318821,0.35297623,0.249334925
82,0.047810851,1,1,1,0.461321665,0,0.799151722,0,0.487310034,0.384759797,0.604707058,0.604032265,0.122603294,0.512789311,0.147908335,0.285827111,0.81640421,0.182958464
83,1,0,0,0,0,0,1,0,1,0.08286334,1,0.28495926,0.18899997,0,1,0.26824595,1,0
84,0.324474654,0.398812649,0.750356601,0.54677083,0.304821061,0.355289551,0.418949025,0.139304315,0.784817679,0.446861385,0.70423882,0.262499518,0.319970151,0.685580127,0.636126246,0.334284792,0.42563848,0.673164031
85,0,0.346921506,1,0,1,1,0.415410139,1,0.024510411,0.91829696,0.422337645,0.179111964,0.299105332,0.536016599,0.510999332,0.358498752,0.221005189,0.183328479
86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
87,0,0.434899322,1,0,0,0,0,0,0.401219067,0.172052263,0.841395887,0,0.859015507,0.392546476,0.647433148,0.182103387,0.361834758,0.251658276
88,0,1,0,0,0,0,1,0,1,1,0.933578725,0,1,0.683012702,0.723322396,0.424716739,1,0.144418677
89,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0.651434985,0.661055651,0.797967061,1
90,0,1,0,0,0,0,0,0,0.28210904,0.346650818,0.400171471,0.457541163,0.851860894,0.239363525,0.354399582,0.748919785,0.634183885,0.839578983
92,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
93,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0
94,0,0,0,0,0,1,0,0,1,0.677488313,0.074300818,0,0.457119613,0.384873311,0.008476318,0.053589838,0.869413102,1
95,0,0,0,0,0,0,0,0,0.487310034,1,0,1,1,1,1,0.593567077,0,1
96,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0.969920603
99,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.047810851,0,0,0
