Exporters,Imported value in 2003,Imported value in 2004,Imported value in 2005,Imported value in 2006,Imported value in 2007,Imported value in 2008,Imported value in 2009,Imported value in 2010,Imported value in 2011,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021,Imported value in 2022
World,18325,20313,19002,20246,24012,28500,22437,23034,25553,19684,19496,20282,19613,20394,22467,22448,23280,19080,21243,21159
Portugal,14200,15159,14892,16282,18683,22206,16850,17988,19398,13969,14002,14172,13592,15422,15464,14506,14795,13568,15035,14208
Spain,882,361,368,386,740,1223,1391,1123,1932,1814,1726,2079,1890,1651,2945,3433,3663,1649,1582,3672
Netherlands,1704,1968,1432,1807,2424,3757,2081,1855,1453,810,824,984,1165,1612,1898,2220,3062,2282,3051,1794
France,31,41,31,70,75,74,117,154,168,195,164,134,153,56,131,375,78,92,297,322
Senegal,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,27,64,93,193,276
Belgium,106,55,177,397,383,109,150,110,272,343,465,679,713,802,548,474,371,317,270,161
Cuba,0,15,18,15,28,5,25,46,70,86,129,97,112,100,156,145,218,102,178,146
Brazil,289,1422,1066,82,125,269,86,141,129,186,167,104,165,84,73,118,125,106,140,139
Italy,204,234,273,309,496,286,419,444,487,412,527,416,499,347,137,232,233,117,116,104
Poland,0,0,0,0,0,0,0,0,0,0,5,0,8,13,0,0,32,48,143,76
United States of America,55,47,18,37,5,11,116,27,33,17,13,52,74,13,81,35,46,43,77,63
China,0,0,0,0,1,0,0,30,2,0,12,1,92,24,97,38,63,40,9,55
United Arab Emirates,0,11,0,0,0,0,0,0,2,0,0,0,1,41,126,211,122,72,10,37
Timor-Leste,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29
Egypt,0,0,0,0,0,0,0,0,2,25,23,4,16,22,3,6,3,0,0,27
French Polynesia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
Morocco,0,0,0,0,22,0,0,0,24,45,21,68,73,45,45,70,146,22,1,18
Bangladesh,8,29,0,0,0,0,0,0,5,5,16,7,16,50,49,18,6,3,6,9
United Kingdom,609,734,542,698,695,424,751,494,964,892,559,583,463,15,556,330,100,244,55,3
Türkiye,0,0,0,0,0,0,0,16,2,0,0,15,37,12,14,89,61,19,55,1
United States Minor Outlying Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
Albania,0,0,0,0,13,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0
Algeria,0,0,0,25,14,14,29,128,50,122,100,48,34,0,0,0,0,0,0,0
Antigua and Barbuda,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austria,0,0,0,0,0,0,0,0,0,0,58,58,97,11,14,0,11,0,10,0
Bahamas,0,1,1,0,0,0,3,11,0,0,0,0,0,0,0,0,0,0,0,0
Belize,0,0,0,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bulgaria,0,0,0,0,0,15,0,7,30,9,11,0,0,4,7,8,0,0,0,0
Canada,9,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chile,0,0,0,0,0,0,0,0,21,19,0,0,0,0,0,0,0,0,0,0
Cyprus,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0
Czech Republic,0,0,0,0,0,0,0,11,0,0,0,32,18,0,0,0,0,0,0,0
Denmark,43,16,6,2,1,0,5,20,10,18,65,61,7,0,0,0,0,0,0,0
Germany,50,37,11,17,133,98,358,318,430,567,438,498,336,53,46,23,24,138,3,0
Ghana,0,0,0,0,0,0,2,0,0,51,76,16,0,0,0,29,8,0,0,0
Greece,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0
Guinea,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hungary,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,10,2,2,0
Indonesia,0,12,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ireland,1,0,1,1,2,0,0,2,0,0,0,0,3,0,3,0,0,0,0,0
Côte d'Ivoire,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jamaica,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Japan,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jordan,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,20,0,0,0,0
"Korea, Republic of",0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
Lebanon,0,0,0,2,6,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0
