Exporters,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021,Imported value in 2022
World,55868,35809,45801,57508,83530,65043,52818,108778
Russian Federation,7154,6848,11306,23140,20064,12679,11882,30374
South Africa,29213,20089,21973,17439,26190,23810,20446,29133
Viet Nam,341,0,50,27,0,6786,1338,8264
Zambia,2116,1544,2515,4772,24508,11707,5590,7821
Lithuania,26,0,1470,318,861,1339,909,6631
China,9750,2126,3680,5111,2964,3409,3501,5702
Egypt,0,0,0,0,74,73,0,4438
Mozambique,42,0,1106,665,525,2388,4811,2729
France,198,187,445,36,2,0,18,2516
Singapore,0,0,0,0,0,0,0,2354
Canada,0,1,0,0,84,1,0,1876
Belgium,1893,1348,780,518,1273,302,215,1776
Angola,0,0,88,351,150,519,311,1218
Algeria,0,0,0,0,0,0,0,894
Ukraine,0,23,0,0,0,0,491,772
Kenya,8,31,2,0,0,96,80,625
Spain,5,0,0,0,0,15,3,483
Germany,191,42,762,814,137,341,118,302
Morocco,0,0,134,291,1021,248,136,176
Luxembourg,0,0,0,0,0,0,34,160
United States of America,0,2,11,8,1,19,0,159
Netherlands,0,0,20,16,1,1,20,127
United Arab Emirates,115,5,13,363,36,2,113,72
India,149,100,97,239,81,127,113,56
Argentina,0,0,0,0,0,0,27,35
Rwanda,2,0,0,0,0,1,22,28
Türkiye,0,0,0,144,69,0,1,24
United Kingdom,0,2,24,0,0,0,1,17
"Tanzania, United Republic of",25,40,591,1167,3296,182,1703,9
Uganda,10,16,18,32,36,26,7,4
Nigeria,0,0,0,0,0,0,0,2
Andorra,0,0,1,0,0,0,0,0
Australia,0,0,0,0,0,0,14,0
Burundi,24,0,0,0,0,0,0,0
Belarus,277,475,122,987,134,0,643,0
Chile,0,6,0,0,0,0,0,0
Cyprus,0,0,0,0,4,0,0,0
Finland,0,0,2,0,0,0,0,0
"Hong Kong, China",57,0,0,0,0,0,0,0
Israel,11,0,0,0,0,0,0,0
Italy,0,0,0,0,2,0,14,0
Côte d'Ivoire,0,0,0,0,57,0,0,0
"Korea, Republic of",1,4,0,0,0,0,0,0
Lebanon,1,0,0,0,0,0,11,0
Malaysia,0,22,0,42,0,0,0,0
Mauritania,0,0,0,2,0,0,0,0
Namibia,0,0,0,0,0,0,1,0
New Zealand,0,0,3,0,0,0,0,0
Norway,0,0,0,35,35,0,0,0
Poland,12,0,0,0,0,0,0,0
Portugal,0,0,1,0,0,0,0,0
Qatar,21,0,0,0,0,0,0,0
Saudi Arabia,26,47,0,465,250,19,0,0
Senegal,0,0,0,0,5,30,53,0
Zimbabwe,0,0,0,96,0,0,0,0
Sweden,4198,2174,579,0,1244,28,15,0
Switzerland,0,677,6,428,425,895,176,0
Thailand,0,0,0,0,2,0,0,0
HHI,0.47153322,0.497100675,0.44353769,0.402485178,0.383043815,0.339687123,0.36564874,0.28553277
