Importers,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019,Exported value in 2020,Exported value in 2021,Exported value in 2022
World,40,83,1164,1647,531,512,446,1211
"Congo, Democratic Republic of the",0,0,0,0,0,0,0,352
Belgium,0,43,477,1110,428,158,216,341
United States of America,0,0,0,2,0,13,41,272
Canada,0,4,0,5,8,16,133,109
Kenya,0,0,0,0,0,0,0,43
United Arab Emirates,0,0,0,0,0,0,0,36
France,0,5,506,409,40,37,37,16
Australia,0,0,0,0,0,0,0,10
Uganda,0,30,177,111,44,96,2,10
Viet Nam,0,0,0,0,0,0,0,9
China,0,0,0,0,0,0,0,5
Rwanda,0,0,0,0,0,1,0,5
United Kingdom,0,0,0,2,0,1,9,2
Switzerland,0,0,0,3,8,2,5,1
Angola,5,0,0,0,0,0,1,0
Barbados,0,0,0,2,0,0,0,0
Cameroon,0,0,4,0,0,0,0,0
Congo,0,0,0,1,0,0,0,0
Ethiopia,0,0,0,0,0,2,0,0
Germany,0,0,0,0,0,0,1,0
Luxembourg,0,0,0,1,0,0,0,0
Netherlands,0,0,0,0,1,1,1,0
Singapore,0,0,0,0,0,186,0,0
Sweden,0,0,0,2,0,0,0,0
Thailand,35,0,0,0,0,0,0,0
Zambia,0,0,1,0,0,0,0,0
HHI,0.603553391,0.272781942,0.306190685,0.601162083,0.685762802,0.311210541,0.389508433,0.282434697
