Code,2002_Product
2,0.01766320768244668
4,0.0020075376831845283
7,0.000510164113187638
8,0.0032649348568081498
9,0.0018027043334323772
10,0.009747764041428094
11,0.0009269013786714001
12,0.000268914
14,4.48e-05
15,0.001054703037237408
16,0.00611394562297034
17,0.005236016288449652
18,3.5117741720064e-05
19,0.011915373379342425
20,0.0024067305629461876
21,0.003079249786090305
22,0.0042419533863228606
23,0.000333140947282683
24,0.008007825184076485
25,0.00728546026462764
27,0.035043096347638254
28,1.4546244797441999e-05
29,0.000347618706307968
30,4.5598610161871996e-05
32,0.00303398540030938
33,0.0015714248429271288
34,0.00407796392460326
35,0.00045225965995282795
36,0.000134457
37,4.48e-05
38,0.000576420521406972
39,0.0029561921713738702
40,0.000229168608757501
42,8.7911456594928e-05
44,0.017821715114243013
46,4.48e-05
48,0.001986600219614608
49,0.00013445676
52,0.001121232990285331
54,1.7558870860032e-05
55,5.5937471566364005e-05
56,3.2170893817535995e-05
57,0.000134457
58,0.0
59,0.0
61,0.000324803609796827
62,0.00062315948952639
63,0.000215253614967978
64,0.000718532874465852
65,8.96e-05
66,1.7558870860032e-05
67,6.385794447332e-05
68,0.00324128526226119
69,0.00023876940334184
70,0.00032671109435802
72,0.000128243436620873
73,0.009399958666723067
74,2.1961089891000004e-05
76,0.002115214078315262
78,0.000134457
79,0.000435989484545562
82,0.000336425914201062
83,8.796426644639999e-05
84,0.0056595990151086595
85,0.006032903268930719
87,0.00878767654901917
88,1.1141555568552e-05
89,3.7894454013167997e-05
90,0.001553850516232992
91,0.000168032533926372
92,0.0
94,0.008031520882030066
95,0.00046790613107531697
96,0.000264432560221068
99,0.004067587435582094
HHI_M,0.20951310810794604
