Importers,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019,Exported value in 2020,Exported value in 2021,Exported value in 2022
World,12,2,17,35,30,8,8,23
Kenya,0,0,0,0,0,0,0,17
Gabon,0,0,0,0,0,1,4,5
China,0,2,0,0,1,0,0,0
Angola,3,0,12,13,6,7,4,0
Nigeria,0,0,2,22,0,0,0,0
Senegal,9,0,0,0,0,0,0,0
South Africa,0,0,3,0,0,0,0,0
"Tanzania, United Republic of",0,0,0,0,24,0,0,0
HHI,0.284959256,1,0.377869498,0.078539334,0.586642491,0.603553391,0,0.216222023
