Exporters,Imported value in 2003,Imported value in 2004,Imported value in 2005,Imported value in 2006,Imported value in 2007,Imported value in 2008,Imported value in 2009,Imported value in 2010,Imported value in 2011,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021,Imported value in 2022
World,2632,2726,3566,4445,11461,9980,19722,15845,19318,36288,35025,114520,68185,64198,35327,33518,50485,37275,35093,57745
Canada,0,0,0,0,0,0,0,0,38,1,0,6,0,39,25,44,8206,12318,1,20776
China,35,45,180,887,693,577,958,1001,1799,2478,3114,58472,19695,5474,3855,4340,4106,7799,14269,17100
Türkiye,781,1541,1150,0,149,4322,8038,2890,6361,9522,18887,32266,24570,27461,13952,11065,16527,8436,11441,5252
United Arab Emirates,12,4,70,104,1,18,763,13,47,3,40,3149,5739,11671,8199,9292,11568,4945,1916,5141
Egypt,227,72,999,1183,9674,3773,8277,10415,9051,21577,9831,11626,11877,8837,5478,5106,6220,1976,2216,4016
India,278,161,453,128,85,340,559,270,712,1151,1687,1514,843,1905,897,767,1055,372,2530,2358
Australia,0,0,1,1,0,0,0,0,0,6,9,0,2,0,4,0,0,0,1,1699
United Kingdom,202,243,90,126,64,95,111,191,83,119,41,96,47,79,4,105,44,43,39,405
United States of America,23,13,12,1,0,15,27,6,60,114,19,163,60,44,61,112,117,138,58,209
Spain,0,0,0,0,6,30,4,8,14,4,0,3,1,0,21,3,0,28,29,188
Italy,271,126,241,213,134,369,501,277,794,536,934,781,951,1133,1033,602,783,357,92,170
France,94,6,4,0,39,3,22,9,31,10,4,3,9,1,19,10,19,157,21,136
"Korea, Republic of",37,0,0,0,0,1,0,17,1,2,72,170,82,30,231,7,110,199,37,85
Belgium,17,4,108,10,10,0,0,9,0,1,11,3,0,1,1,7,6,15,4,49
Saudi Arabia,1,15,21,8,4,7,1,2,6,3,3,0,0,0,20,3,533,7,0,43
Viet Nam,0,0,0,0,0,0,0,0,0,0,0,0,18,1,1,0,3,9,0,26
Poland,0,0,0,0,0,0,0,0,0,0,0,0,181,0,0,0,0,0,0,23
Germany,67,26,35,59,202,31,45,265,64,217,39,28,119,33,22,43,238,28,314,19
South Africa,1,27,92,41,172,123,46,68,15,158,171,57,77,38,108,72,34,89,59,15
Malaysia,0,0,0,0,12,0,8,55,107,0,0,0,0,103,7,1,2,0,4,11
Japan,5,0,4,2,4,21,30,18,18,16,7,4,0,4,12,4,3,0,2,7
Netherlands,96,22,1,6,34,0,13,1,12,8,6,8,7,7,68,47,4,1,4,6
"Korea, Democratic People's Republic of",0,0,0,0,0,0,0,0,0,0,0,0,11,22,43,0,52,0,0,3
Sri Lanka,0,0,0,0,0,0,0,0,0,0,0,0,1,9,3,5,12,3,10,2
Morocco,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
Kenya,2,0,3,7,1,0,0,15,2,0,0,0,0,0,2,0,29,52,0,1
Mexico,0,0,0,0,0,0,0,0,0,3,14,0,0,0,0,0,0,0,0,1
"Taipei, Chinese",0,1,19,6,0,59,68,3,54,7,59,0,1,0,10,1,111,8,24,1
Curaçao,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Sweden,1,89,2,1,4,28,4,14,19,13,0,5,4,2,6,1,16,0,0,1
Argentina,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Austria,0,0,0,0,0,1,4,0,0,0,0,10,0,0,0,0,7,231,1,0
Brazil,0,0,3,0,0,15,1,0,0,0,0,0,0,0,0,0,1,0,0,0
Czech Republic,0,0,8,0,0,0,0,0,0,13,0,57,0,0,1,8,2,0,0,0
Denmark,5,5,3,1,0,0,3,0,0,0,0,3,0,0,1,0,144,0,1,0
Ecuador,1,0,0,0,0,0,0,0,20,1,0,0,3,0,1,0,0,0,0,0
Eritrea,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Finland,67,0,1,0,107,20,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Djibouti,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ghana,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Greece,1,3,8,0,0,0,49,46,0,8,5,0,0,0,20,0,0,0,2,0
