Exporters,Imported value in 2003,Imported value in 2004,Imported value in 2005,Imported value in 2006,Imported value in 2007,Imported value in 2008,Imported value in 2009,Imported value in 2010,Imported value in 2011,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021,Imported value in 2022
World,10525,10383,16213,20312,18265,28054,35621,25598,31449,33887,41796,49624,39494,47274,50341,50073,55457,44485,52420,95981
China,1460,1649,3629,5435,6180,10778,17956,8888,14020,14921,17760,21512,16075,25232,27719,23696,26307,25165,20979,31771
India,1114,839,1899,2535,1718,2834,2755,3111,4487,4625,6348,5183,5275,4815,5901,8205,7848,5204,6801,18099
Kenya,53,113,300,870,1138,1435,1519,1444,1756,1492,1045,1262,1802,853,696,227,2525,1711,3836,11430
Türkiye,196,145,1727,966,205,386,461,315,1138,223,321,521,212,423,546,397,1920,1595,1977,5750
United Arab Emirates,90,70,336,580,177,294,306,187,93,133,160,348,243,964,1620,2445,3643,1284,2285,4912
Egypt,997,1048,1067,473,494,1919,1578,1492,796,1058,699,1735,2062,1608,1909,2854,3171,867,1826,4822
Qatar,0,0,0,0,0,2,4,4,0,0,0,0,7,7,7,0,0,272,353,3394
Viet Nam,0,0,0,12,0,0,0,0,0,0,181,411,358,153,644,1132,1115,1904,1945,2997
Spain,150,67,325,283,58,266,111,82,142,139,433,310,244,211,78,78,208,100,1481,2103
Belgium,272,392,363,641,228,502,397,275,370,594,624,1437,1544,783,741,693,991,488,1161,1573
Australia,20,280,608,292,0,440,10,89,29,38,16,1004,10,570,549,0,17,0,804,1316
Netherlands,135,154,267,553,640,837,609,843,585,637,751,591,780,556,1170,367,450,824,1013,1119
Jordan,190,163,383,459,650,780,745,869,893,1029,1019,1226,1210,809,718,846,765,772,1273,916
Saudi Arabia,1588,481,383,785,872,1039,2071,1342,740,1687,1928,611,1719,2594,2714,2015,1388,742,424,771
Israel,0,167,260,506,186,294,288,219,40,298,104,121,203,32,49,14,4,109,229,595
Germany,604,613,656,892,1290,957,854,1029,1496,1575,2889,1792,1320,1269,1272,1695,1693,709,637,588
"Korea, Republic of",877,213,562,1135,276,793,1385,1807,1167,1829,1760,1644,785,732,688,83,303,480,237,555
Kuwait,0,0,0,0,0,0,0,0,3,0,0,0,6,234,146,89,0,0,0,456
Italy,311,226,169,227,621,316,198,281,364,639,522,537,296,214,406,1252,470,137,161,346
Pakistan,91,57,72,139,60,138,303,489,224,198,193,162,441,547,514,737,185,175,472,334
Iraq,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,274
Chile,9,0,2,0,42,0,0,116,0,33,311,87,0,1,1,25,9,29,412,271
United States of America,146,772,98,220,98,739,1315,382,180,307,1003,826,236,327,190,407,395,237,165,229
Finland,0,1,0,0,4,12,0,0,0,22,39,77,70,77,39,13,15,0,1,176
South Africa,281,290,462,415,256,779,1294,671,215,66,1090,1093,1469,1247,90,90,50,413,482,144
Slovakia,0,0,88,2,53,101,0,0,161,82,0,0,0,165,0,89,0,0,0,121
Indonesia,23,160,37,0,0,15,1,35,4,287,318,130,204,328,33,0,137,93,137,118
Austria,17,0,0,6,15,19,2,4,2,40,0,0,3,5,0,0,4,63,26,100
Russian Federation,0,0,60,0,23,329,62,124,159,1,51,25,15,78,331,402,19,10,23,99
United Kingdom,583,958,476,552,283,221,306,208,281,305,246,253,470,183,204,234,291,40,155,94
Algeria,0,0,2,0,0,0,0,0,0,0,0,19,0,21,14,91,93,45,66,91
Serbia,0,0,0,0,0,13,0,0,0,0,0,0,0,0,27,24,65,83,134,80
Poland,51,12,4,10,69,88,59,31,31,61,93,4,0,2,21,3,24,5,3,69
Georgia,0,0,5,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,48
Thailand,0,12,30,193,116,168,16,83,395,107,27,17,64,75,156,117,62,51,38,37
Belarus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,33
Greece,9,3,18,2,1,1,2,1,5,2,189,30,21,16,0,0,6,3,1,28
Brazil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,21
Czech Republic,0,0,0,0,930,0,1,0,2,77,44,7,14,5,166,10,9,8,16,21
"Taipei, Chinese",120,36,0,6,144,108,102,34,17,123,178,109,28,44,38,275,77,118,78,19
France,14,129,45,147,32,88,13,32,42,281,264,497,457,798,475,1294,860,318,100,17
Hungary,0,0,0,0,0,0,0,0,2,41,37,28,25,0,0,0,0,0,0,8
Japan,7,1,12,0,57,9,30,11,31,76,600,9,51,4,5,0,3,24,15,7
Ireland,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,221,1,36,5
Oman,0,13,66,0,0,8,9,2,0,0,2,1,0,47,0,106,7,18,2,5
Romania,586,534,614,124,415,16,424,322,199,66,147,22,23,43,193,0,34,0,2,5
Ukraine,2,94,207,759,304,243,0,8,25,52,15,0,0,0,0,1,0,0,0,5
Lao People's Democratic Republic,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Denmark,43,136,91,95,32,58,33,6,43,15,60,39,24,35,28,1,17,0,11,2
Bosnia and Herzegovina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Mexico,38,9,0,0,0,180,0,0,0,0,30,255,330,341,114,0,10,1,0,1
"Korea, Democratic People's Republic of",3,0,0,0,7,12,0,9,2,4,0,0,0,0,0,0,33,0,0,0
Somalia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0
Tokelau,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albania,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Andorra,0,0,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,29,0
Argentina,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,119,0
Bangladesh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Armenia,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bolivia, Plurinational State of",0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bulgaria,1,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,349,1358,0
Canada,0,0,0,0,0,1,9,8,0,16,0,5497,0,258,0,2,0,0,2,0
Sri Lanka,0,0,0,0,0,0,0,0,0,0,13,0,97,15,1,0,0,8,0,0
Colombia,0,0,0,0,0,0,0,99,38,25,0,0,0,0,0,0,0,0,0,0
"Congo, Democratic Republic of the",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ecuador,0,52,29,15,6,3,0,29,7,0,0,89,0,0,4,0,0,0,0,0
El Salvador,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Djibouti,0,0,3,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grenada,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
"Hong Kong, China",0,0,0,0,0,0,0,15,0,0,0,0,1,0,0,0,0,0,0,0
Iceland,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
