Exporters,Imported value in 2008,Imported value in 2009,Imported value in 2010,Imported value in 2011,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019
World,25788,18741,25122,37573,145162,95034,68616,58451,98147,375692,294956,187718
Pakistan,20828,16737,23425,32283,81916,77380,61763,46506,77795,161541,152367,108899
Kazakhstan,545,831,164,569,1093,1687,935,408,5204,77140,87821,63403
Uzbekistan,2338,858,423,960,782,481,428,130,3316,94765,50862,13596
India,0,0,817,2827,41593,6792,2483,1841,1269,1656,1656,1043
Türkiye,4,0,66,27,260,1171,283,235,435,1602,834,406
China,0,0,0,6,28,203,85,301,47,12,38,103
United Arab Emirates,0,0,158,246,18624,7004,610,261,1392,261,58,99
Turkmenistan,62,0,0,0,14,0,0,3,8045,38646,1262,92
Australia,0,0,21,0,0,12,0,8,2,32,37,47
"Iran, Islamic Republic of",187,65,20,225,354,161,1901,316,229,34,0,22
Netherlands,0,0,0,0,0,0,0,0,0,0,0,9
Argentina,0,0,0,0,0,0,0,0,14,0,0,0
Cameroon,0,0,0,0,0,9,0,0,0,0,0,0
Indonesia,0,0,0,130,0,0,5,0,0,0,0,0
Japan,0,0,0,0,0,0,0,1,0,4,4,0
"Korea, Republic of",0,0,0,0,0,0,0,0,1,0,0,0
Malaysia,0,0,0,0,0,85,19,0,0,0,0,0
Russian Federation,248,0,8,258,108,0,0,45,21,0,17,0
Saudi Arabia,0,0,0,0,1,0,0,0,0,0,0,0
Viet Nam,0,0,0,0,0,0,0,30,0,0,0,0
Tajikistan,827,251,22,0,0,0,0,0,378,0,0,0
Thailand,0,0,0,43,371,10,0,0,0,0,0,0
Ukraine,22,0,0,0,15,0,0,0,0,0,0,0
United States of America,727,0,0,0,0,38,103,8367,0,0,0,0
HHI,0.728306329,0.810861713,0.902332135,0.803987743,0.50990882,0.752281982,0.858921633,0.739496334,0.726500824,0.354175034,0.456999867,0.535002558
