Importers,Exported value in 2003,Exported value in 2004,Exported value in 2005,Exported value in 2006,Exported value in 2007,Exported value in 2008,Exported value in 2009,Exported value in 2010,Exported value in 2011,Exported value in 2012,Exported value in 2013,Exported value in 2014,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019,Exported value in 2020,Exported value in 2021,Exported value in 2022
World,416,4450,3316,2619,3362,676,1173,2375,2690,1155,1562,1410,860,994,1495,2163,1136,1060,487,66
Singapore,0,0,143,34,23,0,0,0,0,0,0,0,0,8,10,6,0,0,5,42
"Korea, Republic of",282,662,324,13,0,0,0,0,0,196,0,116,0,33,0,45,1,17,18,20
France,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14,15,2,0,4
Australia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
Cambodia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0
Canada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,333,167,0,0,0
China,8,159,151,56,19,0,29,123,45,20,33,98,0,0,23,4,0,0,0,0
Denmark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
Ghana,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0
"Hong Kong, China",28,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Indonesia,0,0,0,4,0,0,0,0,0,0,0,0,51,0,0,0,0,58,0,0
Japan,0,0,0,0,0,0,0,1,0,70,95,112,41,79,83,87,55,78,9,0
Malaysia,0,44,246,25,0,0,392,176,697,452,690,769,412,464,771,775,275,563,0,0
Mexico,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Taipei, Chinese",77,83,423,315,223,89,378,267,219,187,46,315,234,290,556,154,505,342,454,0
Nigeria,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,527,0,0,0,0
Papua New Guinea,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Philippines,0,0,0,0,0,0,0,0,0,0,0,0,120,0,0,0,0,0,0,0
Russian Federation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
India,0,0,0,80,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Viet Nam,3,18,72,0,5,0,54,506,64,85,10,0,0,1,47,0,0,0,0,0
South Africa,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
Switzerland,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thailand,17,3441,1957,2072,3036,585,320,1302,1665,145,687,0,0,29,0,0,0,0,0,0
United Kingdom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0
United States of America,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183,84,0,0,0
HHI,0.529610327,0.672978731,0.388618528,0.701973104,0.848319507,0.705068416,0.169657219,0.333486467,0.414875119,0.16888975,0.370344771,0.284306463,0.279128826,0.342799748,0.420053212,0.248993074,0.320202906,0.372009343,0.866420212,0.307775178
