Exporters,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017
World,1950,1277,1018,1733,545
United States of America,833,1072,864,672,425
Dominican Republic,705,27,13,5,27
China,7,28,39,886,17
France,33,44,42,42,17
Colombia,16,3,6,19,14
Panama,15,58,16,24,14
"Korea, Republic of",0,0,2,0,9
Canada,28,23,24,31,8
Japan,2,0,0,0,5
Germany,2,2,0,0,3
India,0,5,1,1,2
Barbados,0,0,0,0,1
Mexico,1,1,0,1,1
Curaçao,0,0,1,1,1
Switzerland,0,0,0,0,1
Bahamas,0,3,0,0,0
Belgium,183,0,0,41,0
Brazil,6,0,0,0,0
Belize,0,4,0,0,0
El Salvador,0,0,0,1,0
"Hong Kong, China",1,5,6,6,0
Italy,1,0,0,1,0
Jamaica,43,0,2,1,0
Jordan,15,0,0,0,0
Aruba,1,0,0,0,0
Portugal,46,0,0,0,0
Spain,6,0,1,0,0
Thailand,1,0,0,0,0
HHI,0.444862903,0.781605539,0.794095334,0.518837755,0.708651255
