Importers,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019,Exported value in 2020,Exported value in 2021,Exported value in 2022
World,670,491,401,371,541,106,139,588
"Congo, Democratic Republic of the",0,0,0,0,0,0,0,291
Rwanda,440,240,123,74,333,68,98,111
Kenya,0,0,0,0,0,0,0,88
Uganda,10,51,99,43,46,36,16,48
Burundi,220,199,8,108,88,0,8,19
United States of America,0,0,0,1,0,0,5,12
Congo,0,0,0,0,0,0,0,10
Belgium,0,0,21,22,22,0,7,7
Angola,0,0,143,117,52,2,0,2
South Africa,0,0,0,0,0,0,1,0
Canada,0,0,0,0,0,0,4,0
France,0,0,8,6,0,0,0,0
Germany,0,0,0,0,0,0,0,0
HHI,0.371543339,0.156300136,0.213438247,0.181913444,0.368171128,0.351966303,0.549806786,0.33721676
