Exporters,Imported value in 2008,Imported value in 2009,Imported value in 2010,Imported value in 2011,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019
World,0,0,5,3,28,2696,113,1616,290,551,587,1306
China,0,0,0,0,0,0,0,304,63,396,452,1034
Pakistan,0,0,5,0,28,0,30,35,0,124,96,141
"Iran, Islamic Republic of",0,0,0,3,0,0,0,17,0,9,6,50
United States of America,0,0,0,0,0,0,0,0,0,0,2,33
India,0,0,0,0,0,0,83,1227,227,19,7,14
United Arab Emirates,0,0,0,0,0,2696,0,25,0,0,0,13
Thailand,0,0,0,0,0,0,0,0,0,0,0,11
United Kingdom,0,0,0,0,0,0,0,0,0,0,0,4
Türkiye,0,0,0,0,0,0,0,0,0,0,0,3
Japan,0,0,0,0,0,0,0,8,0,3,0,2
France,0,0,0,0,0,0,0,0,0,0,10,1
Hungary,0,0,0,0,0,0,0,0,0,0,2,0
Italy,0,0,0,0,0,0,0,0,0,1,0,0
Romania,0,0,0,0,0,0,0,0,0,0,12,0
HHI,0,0,1,1,1,1,0.252357069,0.632917319,0.359306755,0.584440025,0.671765454,0.714472472
