Exporters,Imported value in 2008,Imported value in 2009,Imported value in 2010,Imported value in 2011,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019
World,0,0,0,0,0,0,0,0,0,1956,3374,2227
China,0,0,0,0,0,0,0,0,0,1413,1451,1508
Pakistan,0,0,0,0,0,0,0,0,0,129,903,277
Türkiye,0,0,0,0,0,0,0,0,0,112,244,164
United Arab Emirates,0,0,0,0,0,0,0,0,0,29,118,143
"Iran, Islamic Republic of",0,0,0,0,0,0,0,0,0,254,438,87
Thailand,0,0,0,0,0,0,0,0,0,0,0,31
United States of America,0,0,0,0,0,0,0,0,0,15,26,10
"Korea, Republic of",0,0,0,0,0,0,0,0,0,3,10,3
Japan,0,0,0,0,0,0,0,0,0,0,2,1
India,0,0,0,0,0,0,0,0,0,0,1,1
Singapore,0,0,0,0,0,0,0,0,0,0,0,1
Denmark,0,0,0,0,0,0,0,0,0,0,5,0
Finland,0,0,0,0,0,0,0,0,0,0,26,0
Indonesia,0,0,0,0,0,0,0,0,0,1,1,0
Italy,0,0,0,0,0,0,0,0,0,0,141,0
Malaysia,0,0,0,0,0,0,0,0,0,0,4,0
Saudi Arabia,0,0,0,0,0,0,0,0,0,0,2,0
HHI,0,0,0,0,0,0,0,0,0,0.596780026,0.367497315,0.565666924
