Exporters,Imported value in 2001,Imported value in 2002,Imported value in 2003,Imported value in 2004,Imported value in 2005,Imported value in 2006,Imported value in 2007,Imported value in 2008,Imported value in 2009,Imported value in 2010,Imported value in 2011,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018
World,65,37,42,46,81,87,81,134,147,135,196,304,417,257,221,223,264,246
China,41,20,21,23,13,51,43,91,50,84,159,250,182,216,146,170,190,193
"Hong Kong, China",13,6,17,7,23,17,23,16,8,11,15,14,16,20,26,25,42,33
Australia,2,1,1,9,37,10,6,12,78,24,7,29,13,9,35,17,21,8
Indonesia,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
Fiji,0,0,0,0,0,1,0,0,0,1,0,1,200,1,6,1,2,4
Papua New Guinea,0,0,0,0,1,0,1,0,0,9,5,1,1,1,2,0,1,1
"Korea, Democratic People's Republic of",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Canada,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Japan,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Korea, Republic of",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
Malaysia,0,0,0,0,0,2,0,0,0,1,2,0,1,0,1,1,5,0
"Taipei, Chinese",0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0
New Zealand,0,0,0,6,5,3,0,3,5,0,1,7,0,0,4,0,0,0
Philippines,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
India,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Singapore,6,9,3,0,2,2,3,12,0,2,0,1,0,4,0,7,2,0
Switzerland,0,0,0,0,0,0,0,0,4,2,5,0,0,0,0,0,0,0
Thailand,1,0,0,0,0,1,3,0,1,1,0,1,0,0,0,0,0,0
United States of America,0,0,0,0,0,0,0,0,0,0,2,0,1,5,0,0,0,0
HHI,0.440959045,0.3048276,0.295378144,0.146210985,0.265478817,0.4284289,0.371549244,0.459851301,0.381752209,0.484133385,0.724848481,0.736263568,0.475569809,0.760551417,0.535507287,0.638232587,0.600414787,0.657208079
