Exporters,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017
World,1642,1198,1115,1385,938
United Kingdom,1016,666,611,1031,482
Canada,3,4,24,2,209
Dominican Republic,8,4,1,151,112
United States of America,314,274,161,132,75
China,48,198,72,53,28
Panama,202,40,16,9,23
France,6,6,13,1,5
Germany,0,0,2,1,3
Chile,6,0,0,0,0
Colombia,0,0,1,0,0
"Hong Kong, China",0,3,0,3,0
Indonesia,12,0,0,1,0
Ireland,1,0,0,0,0
Italy,18,0,0,0,0
Kenya,0,0,1,0,0
Mexico,1,0,0,0,0
Netherlands,6,1,0,0,0
Curaçao,0,0,0,1,0
India,0,0,1,0,0
South Africa,0,0,199,0,0
Eswatini,1,0,0,0,0
Switzerland,0,0,11,0,0
United Arab Emirates,0,0,1,0,0
HHI,0.536049911,0.436569304,0.451901659,0.655480566,0.349599137
