Importers,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019,Exported value in 2020,Exported value in 2021,Exported value in 2022
World,222745,83621,101952,16777,34409,147909,139262,158991
Singapore,0,0,0,0,29331,147909,133410,149103
United Arab Emirates,0,0,1803,11550,210,0,2771,9888
China,16264,4418,0,0,0,0,3082,0
Finland,94273,0,0,0,0,0,0,0
Germany,0,0,0,2,0,0,0,0
South Africa,3733,1596,4741,2382,4868,0,0,0
Switzerland,51636,0,0,0,0,0,0,0
"Tanzania, United Republic of",56228,77607,95408,0,0,0,0,0
Zambia,611,0,0,2843,0,0,0,0
HHI,0.239095308,0.833854903,0.851258611,0.44613627,0.678467189,1,0.901669523,0.794695571
