Importers,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019,Exported value in 2020,Exported value in 2021,Exported value in 2022
World,3,1254,478,2967,3450,1959,32,296
South Africa,0,0,0,0,0,0,0,296
Chad,0,0,0,0,0,6,0,0
Belgium,0,0,0,2755,3342,0,0,0
Burundi,0,0,0,199,0,0,0,0
Congo,0,44,0,2,109,0,0,0
France,3,0,2,0,0,0,0,0
Senegal,0,0,0,11,0,0,0,0
Togo,0,1209,0,0,0,1941,0,0
Uganda,0,0,0,0,0,0,32,0
Uruguay,0,0,476,0,0,0,0,0
Zambia,0,0,0,0,0,13,0,0
HHI,1,0.879659581,0.985744599,0.861948359,0.894878894,0.978323882,1,1
