Importers,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019,Exported value in 2020,Exported value in 2021,Exported value in 2022
World,13,390,490,2410,2321,3036,3558,4130
India,0,0,387,1568,1607,2666,3133,3464
Angola,0,0,2,651,154,52,69,460
Spain,0,0,0,0,0,0,0,62
Belgium,0,0,0,29,0,0,0,37
Morocco,0,0,0,0,0,0,0,33
Burundi,0,0,5,0,0,0,0,24
France,0,4,6,35,14,3,4,19
"Tanzania, United Republic of",0,25,0,0,0,0,250,19
Zambia,0,0,36,18,10,40,8,5
United Arab Emirates,0,0,0,16,210,0,3,4
Gabon,0,0,0,0,0,0,0,1
South Africa,3,2,7,7,22,0,6,0
Bangladesh,0,4,0,0,0,0,0,0
Botswana,0,0,2,0,0,0,0,0
Cameroon,0,0,0,1,0,0,0,0
Canada,2,0,0,0,0,0,0,0
China,0,0,0,0,175,0,0,0
Congo,0,0,0,0,0,4,1,0
Ethiopia,0,1,0,0,0,0,0,0
Germany,0,0,0,48,58,215,37,0
Kenya,0,0,0,0,1,0,6,0
Malawi,0,170,0,0,0,0,0,0
Malaysia,0,0,0,0,29,0,35,0
Mali,0,0,0,0,0,0,4,0
Rwanda,2,6,0,0,0,0,0,0
Senegal,3,0,1,1,0,0,2,0
Uganda,3,177,42,34,42,2,0,0
United Kingdom,0,0,0,0,0,54,0,0
United States of America,0,0,0,0,0,0,0,0
HHI,0.014235995,0.432138053,0.697201026,0.577976132,0.579570095,0.81657611,0.83904619,0.780051766
