Importers,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2015
World,2444,709,574,1574,2645,3374,3851,4032,3938,5255,5873,7064,11397,14881
Viet Nam,0,0,0,0,105,0,309,522,1147,1260,934,4,341,7937
Thailand,32,5,15,21,6,18,47,287,181,12,124,2317,2995,2900
China,0,0,0,0,108,338,438,221,60,459,499,875,1558,1895
"Hong Kong, China",0,0,40,219,409,506,754,1186,1335,1724,1928,1427,4401,978
Germany,48,87,104,121,97,159,72,61,234,286,188,168,158,283
Sri Lanka,0,0,0,0,0,13,0,0,0,0,0,15,121,180
"Taipei, Chinese",10,5,0,44,60,42,28,25,11,20,45,79,59,171
United States of America,310,440,263,501,771,847,880,562,370,340,390,263,318,140
Japan,1968,113,83,186,436,561,695,739,239,128,310,276,101,131
India,8,0,48,251,600,830,284,0,1,119,364,619,44,113
"Korea, Republic of",0,0,0,0,10,0,1,4,152,390,581,567,645,81
Indonesia,0,0,0,0,0,0,0,0,114,346,369,274,368,43
"Iran, Islamic Republic of",0,0,0,0,0,0,0,0,0,143,88,0,215,17
Maldives,0,0,0,0,0,0,0,0,0,0,0,0,0,9
Myanmar,0,0,0,43,0,0,0,0,0,0,0,0,1,2
French Southern and Antarctic Territories,0,0,0,0,0,0,0,359,0,0,0,0,0,0
Australia,0,0,0,0,0,0,0,0,0,0,4,0,0,0
Belgium,0,0,0,0,11,0,7,0,0,0,0,0,0,0
Canada,0,0,0,0,0,0,0,0,0,0,0,0,10,0
France,0,0,0,0,0,13,335,0,0,0,0,0,0,0
Italy,2,1,0,3,0,13,0,0,76,0,0,0,0,0
Pakistan,0,0,0,58,33,29,0,57,0,18,0,177,48,0
Timor-Leste,0,0,0,21,0,0,0,0,0,0,0,0,0,0
Singapore,0,0,0,0,0,0,0,0,1,8,0,0,14,0
Spain,0,0,0,0,0,0,0,0,0,0,50,0,0,0
Sweden,0,20,0,0,0,0,0,0,0,0,0,0,0,0
United Arab Emirates,0,1,0,39,0,3,0,0,12,0,0,0,0,0
Türkiye,0,0,18,0,0,0,0,9,0,0,0,0,0,0
Egypt,53,0,0,0,0,0,0,0,0,0,0,0,0,0
United Kingdom,13,38,3,68,0,0,0,0,0,0,0,2,0,0
"Venezuela, Bolivarian Republic of",0,0,0,0,0,0,0,0,5,0,0,0,0,0
HHI,0.723746011,0.482890084,0.267554366,0.189605013,0.211463791,0.213374899,0.149533432,0.17852394,0.28547258,0.232665647,0.19276354,0.220026599,0.331373156,0.442472586
