Importers,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019,Exported value in 2020,Exported value in 2021,Exported value in 2022
World,6523,7169,7001,7869,11211,16040,17667,13752
India,2900,1483,2201,3966,4610,7171,7334,5586
Germany,888,2367,2380,1609,2491,4967,4763,5188
Madagascar,0,0,0,0,0,905,2004,2315
Indonesia,869,1156,709,727,1881,1379,1110,499
Belgium,1479,1622,1365,1420,1951,1325,1572,112
Angola,0,0,58,2,0,0,26,25
Italy,0,57,0,0,77,52,14,14
Uganda,0,47,1,9,6,1,145,7
France,0,134,0,0,1,0,0,4
United Kingdom,0,0,0,0,0,0,0,2
China,9,19,0,23,22,13,0,0
Kenya,271,107,0,20,0,0,0,0
Mali,0,0,0,0,0,0,1,0
Mauritius,0,4,0,0,0,0,0,0
"Taipei, Chinese",0,0,0,0,0,4,0,0
Netherlands,0,0,1,0,0,0,0,0
Rwanda,0,0,2,0,0,8,0,0
Viet Nam,0,0,11,0,0,0,0,0
Spain,0,30,0,0,0,36,327,0
United Arab Emirates,0,35,39,0,0,0,0,0
"Tanzania, United Republic of",106,108,233,0,173,181,265,0
United States of America,0,0,0,0,0,0,106,0
Zambia,0,0,0,93,0,0,0,0
HHI,0.254118095,0.279778479,0.303777319,0.370883958,0.289722068,0.381065663,0.325225722,0.38656845
