Importers,Exported value in 2008,Exported value in 2009,Exported value in 2010,Exported value in 2011,Exported value in 2012,Exported value in 2013,Exported value in 2014,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019
World,0,0,0,0,0,0,0,0,0,12,10,66
Kazakhstan,0,0,0,0,0,0,0,0,0,0,0,28
Uzbekistan,0,0,0,0,0,0,0,0,0,0,0,18
Tajikistan,0,0,0,0,0,0,0,0,0,0,0,10
Iraq,0,0,0,0,0,0,0,0,0,0,0,9
Canada,0,0,0,0,0,0,0,0,0,1,1,1
Pakistan,0,0,0,0,0,0,0,0,0,0,9,0
Saudi Arabia,0,0,0,0,0,0,0,0,0,10,0,0
India,0,0,0,0,0,0,0,0,0,0,1,0
United States of America,0,0,0,0,0,0,0,0,0,0,0,0
HHI,0,0,0,0,0,0,0,0,0,0.445154908,0.789526325,0.175432786
