Exporters,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021,Imported value in 2022
World,71495,74607,58386,75828,83347,80233,158738,271511
Belgium,6264,6246,6713,4408,7956,5628,12448,87623
China,15927,22730,12106,28818,23408,28909,42747,75708
South Africa,15220,6046,9901,8134,9187,10668,20665,23141
India,2906,3565,2754,3539,3192,4252,10752,11473
Germany,5890,5323,4456,5107,8624,6128,13078,9808
France,2923,4918,3310,5004,5814,4214,9013,9295
United States of America,5002,3463,3487,4492,6971,3410,5480,8840
Netherlands,1541,3051,2801,3456,1677,1910,6319,5906
Australia,722,1495,1614,1535,1300,1840,4902,5247
Italy,708,900,512,460,2903,794,1847,4556
Switzerland,1861,1887,1440,2558,1532,1500,6522,4495
United Arab Emirates,2519,4932,1330,778,1239,1148,4911,3557
Finland,259,546,156,128,410,160,861,2614
Denmark,1871,1748,1381,1077,2292,2578,4651,2404
Canada,548,527,334,401,620,460,2112,2138
Sweden,363,218,72,245,202,873,546,1846
Spain,312,328,2209,681,1253,586,1048,1439
"Korea, Republic of",116,43,162,63,68,78,776,1360
United Kingdom,884,1076,903,1304,905,1895,1391,1345
Malaysia,656,149,110,468,552,149,1140,1052
Japan,531,1319,263,332,300,150,1955,1051
Indonesia,10,7,5,3,29,601,109,625
Mexico,218,147,262,210,192,129,611,625
Zambia,211,46,27,304,135,71,65,599
Kenya,509,131,199,419,409,343,773,597
"Taipei, Chinese",212,169,91,274,172,162,513,471
Türkiye,161,269,90,116,215,92,224,437
Botswana,1,0,0,0,0,0,17,396
"Tanzania, United Republic of",148,61,68,121,44,33,63,352
Austria,114,70,258,116,98,179,10,260
Ireland,3,20,3,11,1,2,205,241
Romania,43,46,44,84,69,71,168,224
Singapore,195,315,115,97,500,117,224,191
Pakistan,54,51,1,90,42,41,195,185
Czech Republic,12,13,43,7,30,107,248,179
Poland,10,122,23,33,13,170,535,146
Eswatini,197,48,120,120,23,9,138,140
Angola,0,6,19,4,4,0,3,105
Israel,27,89,34,17,14,14,149,99
Brazil,1,32,16,13,57,31,22,94
"Hong Kong, China",310,1453,13,108,29,194,101,84
Egypt,303,4,0,28,18,104,253,79
"Congo, Democratic Republic of the",0,0,0,0,0,0,0,59
Estonia,25,0,0,12,0,0,23,41
Hungary,18,10,376,72,244,43,36,39
Thailand,13,87,19,7,18,7,27,39
New Zealand,0,32,43,3,68,32,103,35
Tunisia,13,3,17,7,93,97,239,35
Slovakia,19,14,36,6,10,0,22,30
Luxembourg,591,14,20,6,27,0,27,24
Lebanon,275,104,24,69,45,22,83,19
Lithuania,0,2,0,0,4,0,5,15
Honduras,0,0,0,0,0,0,1,14
Jordan,1,0,0,0,2,0,12,14
Uganda,84,58,23,32,12,13,3,14
Djibouti,0,0,0,0,0,0,0,13
Portugal,5,21,0,0,52,62,0,11
Nigeria,92,69,0,5,3,2,0,9
Tokelau,0,0,0,0,0,0,0,8
Georgia,17,1,0,75,2,0,0,7
Morocco,76,1,7,16,11,9,11,7
Burundi,0,0,0,0,0,0,0,6
Chile,77,0,0,0,0,0,0,6
Philippines,1,3,101,1,2,0,0,5
Ukraine,0,18,89,7,43,21,66,5
Costa Rica,0,0,0,0,0,0,0,4
Saint Helena,0,0,0,0,0,0,0,3
Rwanda,61,23,6,3,6,1,2,3
Viet Nam,47,0,17,0,0,2,1,3
Slovenia,9,1,1,13,1,0,0,3
"Korea, Democratic People's Republic of",12,0,0,0,0,0,28,2
Bulgaria,2,0,3,0,1,0,4,2
Ghana,0,54,1,59,3,0,65,2
Côte d'Ivoire,2,2,0,0,3,2,81,2
Russian Federation,0,17,3,0,0,31,14,2
Greece,10,4,38,0,0,1,11,1
Sierra Leone,0,0,14,0,3,12,0,1
