Exporters,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017
World,8327,8152,8582,7543,7504
China,1784,1650,1694,1570,1590
"Hong Kong, China",506,599,1268,1159,1407
United States of America,2830,2343,2479,1925,999
Mexico,436,364,243,464,513
Brazil,277,447,418,145,488
Viet Nam,2,0,0,0,396
France,147,286,153,217,392
Netherlands,14,26,228,147,368
Panama,1043,961,647,509,273
India,7,340,213,112,272
Colombia,206,349,337,132,191
Canada,135,23,119,228,148
Germany,167,139,101,117,92
"Taipei, Chinese",55,153,37,34,86
"Korea, Republic of",110,24,0,0,76
Belgium,76,24,107,171,59
Spain,143,48,6,15,28
Bangladesh,0,0,0,0,22
Italy,40,24,38,38,18
Dominican Republic,101,103,27,65,17
Eswatini,19,94,24,5,14
Denmark,0,0,0,6,10
Argentina,2,17,1,6,9
United Kingdom,18,7,9,31,9
Chile,1,2,0,0,8
Sri Lanka,0,0,0,0,4
"Venezuela, Bolivarian Republic of",0,0,0,0,4
Japan,0,1,104,5,3
Pakistan,0,0,0,0,2
Uruguay,0,0,0,0,2
Australia,0,0,0,0,1
Switzerland,3,2,2,6,1
Austria,7,1,0,0,0
Bahamas,9,1,0,0,0
Barbados,0,0,9,6,0
Belize,0,4,0,0,0
Costa Rica,2,0,0,0,0
Czech Republic,0,0,0,1,0
Guatemala,5,0,6,0,0
Ireland,3,2,0,0,0
Israel,0,4,0,0,0
Jamaica,67,57,79,3,0
Kenya,0,0,2,0,0
Luxembourg,1,0,2,0,0
Malaysia,0,0,0,1,0
Niger,0,0,1,0,0
Paraguay,0,0,8,0,0
Portugal,0,1,0,0,0
Saint Vincent and the Grenadines,6,0,0,0,0
South Africa,0,0,202,0,0
Sweden,1,0,0,2,0
United Arab Emirates,103,56,15,422,0
Türkiye,0,0,1,0,0
HHI,0.315260666,0.261635543,0.267511891,0.243506989,0.203882153
