Exporters,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017
World,120468,125149,83603,132500,84893
Guatemala,28573,40403,28499,59513,22544
Colombia,48881,48506,25544,21493,20647
Switzerland,2693,0,8830,17261,15065
Brazil,2935,3358,4339,5001,5851
Nicaragua,12116,4384,0,11963,5354
Mexico,3763,43,0,1976,4439
Cuba,0,8742,3258,5894,3669
United States of America,6137,5864,7164,4467,2379
India,1064,793,608,1268,1460
China,257,1293,96,234,707
Panama,0,148,371,469,662
Honduras,9144,4748,2113,223,620
France,124,82,48,39,442
Ecuador,129,281,212,91,373
Dominican Republic,402,481,544,209,182
"Hong Kong, China",0,126,103,94,130
Morocco,0,0,0,0,76
Pakistan,0,0,0,49,61
Saudi Arabia,0,0,0,0,45
Argentina,73,44,58,62,38
Peru,885,93,0,0,34
United Arab Emirates,0,0,0,0,32
Egypt,0,0,0,60,19
Chile,15,15,8,14,16
El Salvador,0,0,0,224,14
Canada,201,237,12,16,10
Spain,0,0,0,42,6
Germany,8,11,8,10,5
Netherlands,74,0,21,9,5
Malaysia,0,0,0,1,4
Italy,0,0,3,5,2
British Virgin Islands,0,0,0,0,1
Bahamas,1087,4011,33,0,0
Belgium,0,0,1,2,0
Costa Rica,258,558,193,35,0
Gabon,0,56,0,0,0
Jamaica,621,429,1288,314,0
Jordan,13,0,0,0,0
Curaçao,0,7,0,0,0
Eswatini,0,0,0,1461,0
Thailand,0,0,35,0,0
Türkiye,102,285,20,0,0
Ukraine,0,1,0,0,0
United Kingdom,915,148,195,0,0
HHI,0.364615865,0.403091048,0.359779753,0.400429755,0.294605256
