Importers,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019,Exported value in 2020,Exported value in 2021,Exported value in 2022
World,28565,37795,35019,47256,66183,87281,88611,89882
India,0,244,4456,3918,17333,21267,14932,30968
Netherlands,3688,2275,6900,13923,4046,8977,10838,11793
Belgium,1413,2980,403,2808,4887,8142,12861,11149
Indonesia,0,0,12688,14916,20240,18489,15446,9435
Malaysia,0,617,1123,738,2271,5086,9069,8071
Switzerland,3008,3569,2421,4625,3714,7118,4751,5034
Uganda,121,0,184,152,3776,4232,5871,4326
United States of America,1970,2265,1225,2236,5879,5768,6720,3618
Singapore,0,63,31,113,1284,2464,2687,2439
Eswatini,0,0,0,0,0,0,978,1273
Kenya,0,0,0,0,0,0,0,1188
Spain,3470,5373,4032,2284,1299,3188,1394,554
"Congo, Democratic Republic of the",0,0,0,0,0,0,0,30
"Taipei, Chinese",0,0,1,2,1,0,0,2
Angola,0,0,0,1,0,0,2,0
Sri Lanka,0,62,0,0,0,0,0,0
Estonia,332,0,0,0,0,0,0,0
France,110,87,145,128,0,0,107,0
Germany,12697,19105,113,52,510,20,187,0
Iceland,417,0,0,0,0,0,0,0
Italy,0,1098,525,750,343,0,358,0
Mauritius,7,5,7,36,0,0,0,0
New Zealand,0,52,0,0,0,0,0,0
Romania,0,0,32,0,0,0,0,0
South Africa,0,0,0,17,0,0,0,0
Thailand,0,0,0,546,597,0,0,0
United Arab Emirates,0,0,0,8,2,0,0,0
Türkiye,0,0,0,0,0,0,1952,0
Turks and Caicos Islands,0,0,0,0,0,766,0,0
United Kingdom,1331,0,733,0,0,1762,458,0
HHI,0.29686959,0.381814627,0.281079832,0.299303277,0.235981091,0.139317383,0.137363134,0.212035784
