Exporters,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021,Imported value in 2022
World,115,172,40,423,317,306,195,804
China,3,14,7,62,217,213,93,230
Angola,0,0,1,16,24,13,73,174
South Africa,4,53,15,26,21,6,16,159
India,0,0,0,0,6,1,4,135
Uganda,0,0,0,1,0,0,0,62
Rwanda,0,0,0,0,0,0,0,25
Kenya,0,0,0,2,0,0,2,9
United Arab Emirates,85,83,15,37,40,47,8,7
France,0,0,0,0,0,2,0,2
Belgium,19,7,2,22,0,7,0,0
Germany,0,0,0,5,0,0,0,0
Italy,1,13,0,0,0,0,0,0
Japan,2,1,0,0,0,0,0,0
"Korea, Republic of",0,0,0,247,0,0,0,0
Lebanon,0,0,0,0,9,0,0,0
Malaysia,0,0,0,0,0,5,0,0
Spain,0,0,0,0,0,12,0,0
Türkiye,0,0,0,4,0,0,0,0
United States of America,0,0,0,1,0,0,0,0
Zambia,0,0,1,0,0,0,0,0
HHI,0.592509719,0.298136383,0.259495382,0.448872256,0.500017639,0.57403292,0.347074091,0.175993881
