Exporters,Imported value in 2008,Imported value in 2009,Imported value in 2010,Imported value in 2011,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019
World,231,2038,4217,3353,9647,9414,4590,3916,7653,16220,10733,19036
Pakistan,58,1904,4048,3288,7207,6058,3680,3099,6157,13135,9128,16269
China,7,17,112,23,1,24,426,593,1215,2340,1559,2675
"Iran, Islamic Republic of",0,5,33,1,0,68,6,0,120,20,2,56
Turkmenistan,78,45,0,12,101,0,0,0,0,0,36,22
Russian Federation,88,17,0,0,0,0,0,0,8,13,2,11
India,0,0,22,4,0,7,0,157,75,525,3,2
Marshall Islands,0,0,0,0,0,1,0,0,0,0,0,0
Belgium,0,0,2,0,0,0,0,0,0,0,0,0
Japan,0,0,0,0,0,0,0,0,0,71,0,0
"Korea, Republic of",0,0,0,0,0,0,0,35,0,0,0,0
Malaysia,0,0,0,0,0,0,86,0,38,0,0,0
Saudi Arabia,0,2,0,0,0,0,0,31,0,103,0,0
Viet Nam,0,0,0,0,0,0,0,0,0,4,0,0
Tajikistan,0,35,0,0,0,0,22,0,0,0,0,0
Thailand,0,0,0,17,0,0,0,0,1,0,0,0
United Arab Emirates,0,13,0,8,1199,3256,369,0,36,0,0,0
Türkiye,0,0,0,0,1139,0,1,0,4,0,0,0
Uzbekistan,0,0,0,0,0,0,0,0,0,9,2,0
HHI,0.136839727,0.89909126,0.928250113,0.968911224,0.577701603,0.544755538,0.696677264,0.650519458,0.730410986,0.734840669,0.779406111,0.773765571
