Exporters,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017
World,12501,13035,13209,13314,11770
China,2294,2433,3147,2359,2787
United States of America,3488,3783,4812,6444,2641
El Salvador,801,1131,1368,1313,1459
Spain,392,379,428,221,801
Dominican Republic,1613,1504,325,519,768
Mexico,210,266,550,108,746
Belgium,5,77,4,89,603
"Hong Kong, China",1412,1820,696,308,587
Costa Rica,258,180,237,270,251
Canada,312,529,364,356,219
Germany,116,92,312,134,203
France,372,49,271,66,161
Türkiye,70,10,0,0,124
Jamaica,102,55,56,112,113
Netherlands,3,0,0,9,79
Italy,1,124,14,230,51
Eswatini,0,0,0,1,47
"Taipei, Chinese",4,6,325,121,45
Panama,104,370,152,428,37
Viet Nam,0,0,0,0,15
Gabon,0,0,0,0,8
India,752,30,15,3,8
Brazil,0,12,6,11,6
Colombia,27,27,68,7,6
Chile,0,0,0,0,5
Sri Lanka,0,0,0,0,1
Argentina,0,1,0,0,0
Bahamas,1,0,0,0,0
Barbados,0,90,1,0,0
Honduras,125,36,0,0,0
Ireland,0,1,0,0,0
Japan,0,0,14,2,0
"Korea, Republic of",33,24,0,0,0
Lebanon,0,0,16,0,0
Curaçao,3,0,1,0,0
Pakistan,0,0,0,1,0
Poland,0,0,5,0,0
Portugal,1,0,0,0,0
Sweden,0,0,0,35,0
Thailand,0,0,0,168,0
United Arab Emirates,0,0,21,1,0
United Kingdom,1,0,2,0,0
HHI,0.241376849,0.255569106,0.325027908,0.415129903,0.223803766
