Importers,Exported value in 2008,Exported value in 2009,Exported value in 2010,Exported value in 2011,Exported value in 2012,Exported value in 2013,Exported value in 2014,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019
World,0,0,0,0,0,0,0,0,0,0,494,646
Pakistan,0,0,0,0,0,0,0,0,0,0,478,279
"Iran, Islamic Republic of",0,0,0,0,0,0,0,0,0,0,10,129
India,0,0,0,0,0,0,0,0,0,0,0,98
Canada,0,0,0,0,0,0,0,0,0,0,0,42
Uzbekistan,0,0,0,0,0,0,0,0,0,0,0,40
United States of America,0,0,0,0,0,0,0,0,0,0,0,33
United Arab Emirates,0,0,0,0,0,0,0,0,0,0,0,22
Australia,0,0,0,0,0,0,0,0,0,0,0,3
Kazakhstan,0,0,0,0,0,0,0,0,0,0,6,0
HHI,0,0,0,0,0,0,0,0,0,0,0.924048852,0.243781968
