Importers,Exported value in 2008,Exported value in 2009,Exported value in 2010,Exported value in 2011,Exported value in 2012,Exported value in 2013,Exported value in 2014,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019
World,11,306,17752,5009,6762,24227,5697,6233,5095,12405,16793,27511
Pakistan,1,306,17253,5009,6565,24223,5697,6204,5037,12327,15974,23594
China,0,0,417,0,0,0,0,0,0,78,0,3737
Türkiye,0,0,67,0,0,0,0,0,0,0,229,75
"Iran, Islamic Republic of",10,0,0,0,0,0,0,0,59,0,0,40
Iraq,0,0,0,0,0,0,0,0,0,0,0,32
India,0,0,15,0,196,0,0,0,0,0,0,31
Tajikistan,0,0,0,0,0,4,0,0,0,0,590,1
Saudi Arabia,0,0,0,0,0,0,0,29,0,0,0,0
HHI,0.705097496,1,0.94436404,1,0.902009328,0.999436343,1,0.984151968,0.961365129,0.978600071,0.886373911,0.788305315
