Code,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
57,0.000740218,0.000834867,0.000827955,0.000598479,0.000873188,0.00161385,0.001145055,0.000238586,0.000568677,0.004276907,0.000404344,0.000411723
58,0.011278133,0.021240964,0.01618146,0.009522504,0.004903321,0.014539241,0.028980117,0.022301318,0.041423044,0.00640014,0.014182288,0.008296663
59,0,0,0,0,0,0,0,0,0,0,0,0.002671485
61,0.001659993,0.001221154,0.001123763,0.000621471,0.00197403,0.00216109,0.000705729,0.001612503,0.002657763,0.000901773,0.001587464,0.001058275
62,0.000306983,0.000761169,0.001057737,0.000303932,0.000841602,0.001077919,0.000677852,0.000977272,0.000418083,0.000830105,0.000792925,0.00086757
63,0.003936804,0.002787855,0.003583839,0.001098049,0.000918951,0.001674354,0.00137787,0.000555686,0.001058116,0.002417548,0.001248993,0.000904812
64,0.003330898,0.002646445,0.004185032,0.00215326,0.004975519,0.006291533,0.002654324,0.003602483,0.005332218,0.003344306,0.004981599,0.004510485
65,0,0,0,0,0,0,0,0,0,1.51E-05,2.60E-05,2.71E-05
66,0,0,0,0,0,0,0,0,0,0,0,3.11E-05
67,0,0,0,0,0,0,0,0,0,0,0,2.05E-05
68,0.001047099,0.007940611,0.029583255,0.021358315,0.034681474,0.039161458,0.019618038,0.014669223,0.012301071,0.020902941,0.021120437,0.026339642
69,0,0,0,0,0,0,0,0,0,0,2.43E-06,0.004464379
70,0.001732388,0.001848264,0.001185702,0.001591805,0.001561577,0.002170046,0.002023728,0.001103066,0.001890158,0.002928225,0.003995705,0.004237492
71,0.000913848,0.00030248,0.000619452,0.001624682,0.000614412,0.000582507,0.000469664,0.000544643,0.000758228,0.000135349,0.000241389,0.000429936
72,0.044297104,0.028556265,0.031664193,0.024553779,0.02004944,0.016081255,0.019073831,0.020344256,0.011626416,0.008866575,0.016037637,0.015600283
73,1.71E-05,7.02E-05,2.51E-05,2.03E-05,3.47E-05,1.00E-04,3.49E-06,2.59E-07,5.07E-05,0.001004408,0.001000067,0.006674292
74,0,0,0,0,0,0,0,0,0,3.60E-06,4.37E-05,4.46E-05
75,0.000211552,0.000107152,0.000296578,0.000103383,0.000959271,0.000489327,0.000137338,0.000188335,0.000279736,1.27E-06,8.84E-06,0.000181872
76,0.00070711,0.001165939,0.000837163,0.001578602,0.004805721,0.003907973,0.002119389,0.000966034,0.001239409,0.009349165,0.00142341,0.002221493
79,0,0,0,0,0,0,0,0,0,0.000129464,0.000230824,0.000177282
82,0.000112827,0,6.78E-05,0.000102483,2.75E-05,1.64E-05,7.06E-05,3.65E-05,5.27E-05,1.37E-05,4.35E-05,0.000253767
83,0.001165013,0.003088833,0.001306118,0.00073598,0.002809044,0.002130581,0.002667559,0.002688708,0.004145914,0.008080693,0.009679599,0.006048814
84,0.008485768,0.007860391,0.015872869,0.010703548,0.01929671,0.013448433,0.018379309,0.008253338,0.018156356,0.011553772,0.010318349,0.006560436
85,0.012169951,0.006685177,0.008488085,0.010629954,0.014675509,0.01867734,0.010625055,0.010966511,0.017571212,0.016377316,0.017754148,0.024792472
86,0,0,0,0,0,0,0,0,0,0.001781707,0.003053533,0.002581344
87,0.085456801,0.075338069,0.094337606,0.060055882,0.020418469,0.028007522,0.012423917,0.006522603,0.010722077,0.027446557,0.028529098,0.017578142
88,0,0,0,0,0,0,0,0,0,0.000516271,0.000389728,0.000349412
90,0.007561396,0.003116278,0.007570529,0.003247383,0.00752606,0.012196742,0.01415424,0.014746076,0.022062263,0.02418175,0.025357825,0.016204583
91,5.13E-05,3.95E-05,8.18E-05,5.11E-05,0.000227404,0.000170725,1.96E-05,7.29E-06,7.75E-05,4.59E-05,2.98E-05,4.48E-05
92,0,0,0,0,0,0,0,0,0,5.98E-07,3.62E-06,5.19E-07
93,0,0,0,0,0,0,0,0,0,0.000606662,0.000442662,0.000423412
94,0,0,0,0,0,0,0,0,0,0.000150639,0.00016741,0.000185891
95,0,0,9.70E-07,4.89E-07,3.59E-06,0.000356677,3.68E-06,0.000132437,1.60E-05,4.13E-05,5.33E-05,0.000137691
96,0,0,0,0,0,0,0,0,0,0.001048774,0.001779732,0.002560841
97,0.047592368,0,0,0,0,0,0,0,0,0,0,0
99,0,0.027115631,0.041404794,0.031573612,0.023925099,0.014075417,0.047943761,0.07336624,0.04259584,0.007894474,0.000981955,0.004289012
,0.473899471,0.536456244,0.516637186,0.405275285,0.382678891,0.379072518,0.414916091,0.44938565,0.463610166,0.515218194,0.502590562,0.50260838
