Exporters,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021,Imported value in 2022
World,64208,44525,35811,37192,29908,49518,55119,65756
Brazil,2630,2653,5609,1867,2307,16345,33778,34663
Guatemala,29320,21050,7144,12540,9279,7940,1739,7930
Zambia,7359,5815,8674,6712,4099,5974,2967,4935
India,1768,781,1275,2232,1355,3817,3371,4365
South Africa,1200,611,147,923,3248,3238,2979,3221
Egypt,0,1828,3414,1269,0,1205,865,2519
Colombia,2573,1456,1985,2753,3032,2419,1247,1460
France,786,1124,1133,681,929,635,1629,1169
China,1715,1568,1295,1444,1349,605,883,904
Kenya,1059,461,514,316,519,559,416,893
Uganda,1203,524,374,441,902,1250,432,805
Mauritius,0,0,0,0,0,0,0,492
Bangladesh,0,45,313,389,172,203,546,479
Angola,193,132,496,285,25,933,365,332
United Arab Emirates,1457,192,378,948,513,791,191,326
Indonesia,800,502,334,120,170,171,134,220
Togo,20,0,0,0,0,0,195,209
Pakistan,418,154,121,79,157,108,96,147
Belgium,728,325,441,92,117,184,178,137
Mexico,534,422,53,134,127,112,167,131
Viet Nam,254,193,182,190,140,143,112,128
Italy,40,61,192,3,46,42,15,64
Türkiye,187,33,55,2,50,49,14,44
Saudi Arabia,2,1835,1413,2782,847,1541,781,42
"Tanzania, United Republic of",31,81,0,5,8,28,117,38
Russian Federation,0,0,0,0,0,0,0,23
Argentina,13,0,0,0,0,0,0,19
United States of America,16,0,4,0,0,0,3,14
Germany,118,4,10,3,0,26,9,8
Malta,0,4,0,0,0,0,4,7
Netherlands,15,135,73,30,4,36,76,7
Lebanon,27,20,10,10,6,14,8,5
Poland,0,0,0,3,0,0,7,5
Namibia,0,0,0,0,0,3,0,4
Spain,0,6,3,0,44,51,49,3
Burundi,0,0,1,20,1,1,2,2
Czech Republic,0,0,0,0,0,1,0,2
Morocco,36,62,0,1,0,0,0,2
Rwanda,79,1,5,514,27,8,3,2
Belize,0,6,8,11,0,0,0,0
Cameroon,0,0,0,0,10,0,0,0
Canada,3,0,0,0,0,0,0,0
Ecuador,3,0,0,0,0,0,0,0
Gabon,2,0,0,0,0,0,0,0
Ghana,17,0,0,0,0,0,0,0
Greece,0,0,0,0,0,1,2,0
Honduras,52,0,0,0,0,0,0,0
"Hong Kong, China",24,0,0,1,0,0,0,0
Jordan,3,16,0,0,0,0,0,0
Malawi,0,0,0,0,0,0,225,0
Malaysia,8,0,3,4,1,7,11,0
Mauritania,0,0,0,20,0,0,0,0
Mozambique,0,0,14,22,89,5,0,0
Nicaragua,0,0,0,0,0,0,1391,0
Portugal,4,8,1,251,319,689,102,0
Singapore,280,0,0,0,0,0,0,0
Zimbabwe,5,20,0,0,0,0,0,0
Eswatini,0,0,2,78,0,0,0,0
Switzerland,0,4,0,5,0,0,0,0
Thailand,9220,2392,134,11,12,381,0,0
United Kingdom,2,1,0,4,3,3,11,0
HHI,0.407734267,0.40689721,0.248998187,0.299633285,0.259253452,0.28995095,0.552119105,0.469985365
