Importers,Exported value in 2008,Exported value in 2009,Exported value in 2010,Exported value in 2011,Exported value in 2012,Exported value in 2013,Exported value in 2014,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019
World,0,0,0,0,0,0,0,6,0,0,6,80
Saudi Arabia,0,0,0,0,0,0,0,3,0,0,0,73
Russian Federation,0,0,0,0,0,0,0,0,0,0,0,5
Tajikistan,0,0,0,0,0,0,0,1,0,0,0,2
Germany,0,0,0,0,0,0,0,0,0,0,0,1
Canada,0,0,0,0,0,0,0,2,0,0,0,0
United Arab Emirates,0,0,0,0,0,0,0,0,0,0,0,0
United Kingdom,0,0,0,0,0,0,0,0,0,0,6,0
Uzbekistan,0,0,0,0,0,0,0,0,0,0,0,0
HHI,0,0,0,0,0,0,0,0.109450668,0,0,1,0.830129777
