Exporters,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021,Imported value in 2022
World,13,3798,447,3600,870,5680,4793,17439
Bulgaria,0,0,0,0,0,0,0,13607
China,0,2,4,511,74,4,2,3490
South Africa,0,3,0,1,4,1,0,322
United Kingdom,0,0,0,0,0,0,0,10
Jordan,0,0,0,0,0,0,1677,4
Denmark,0,0,0,0,0,0,0,2
United Arab Emirates,0,0,1,0,0,0,48,2
Canada,0,0,0,0,0,0,0,1
United States of America,0,10,0,1023,0,0,571,1
Angola,0,0,0,0,146,0,0,0
Bangladesh,0,241,0,0,645,0,0,0
France,11,0,0,6,0,0,0,0
Ghana,0,2436,0,126,0,0,0,0
Indonesia,0,0,0,56,0,0,0,0
Kenya,0,0,0,0,0,0,476,0
Malawi,0,0,441,0,0,0,0,0
"Taipei, Chinese",0,21,0,0,0,0,0,0
Pakistan,0,1077,0,0,0,0,0,0
Senegal,0,0,0,0,0,5674,0,0
India,1,7,0,1875,0,0,0,0
Spain,0,1,0,0,0,0,0,0
Sweden,0,0,0,0,1,1,0,0
"Tanzania, United Republic of",0,0,0,0,0,0,2018,0
Zambia,1,0,0,0,0,0,1,0
HHI,0.652473913,0.556261882,0.968343289,0.375048253,0.574689162,0.997887882,0.307228297,0.70859571
