Exporters,Imported value in 2008,Imported value in 2009,Imported value in 2010,Imported value in 2011,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019
World,135126,127806,207329,235165,403689,380638,238199,203153,230455,241726,268853,303052
China,43855,22656,51123,62372,95171,64881,83235,88445,126007,136436,136533,173414
India,17521,17201,11831,10249,21364,7404,3014,3935,18790,37943,55861,59123
Pakistan,5357,4651,8841,15313,71438,45924,24572,14214,20496,10629,15319,7447
Viet Nam,27,0,45,91,33,25,49,156,2600,4854,5536,7208
United States of America,1693,3723,11559,6493,11249,1657,3146,3662,7921,710,2367,7147
Türkiye,4577,11594,11378,15357,22195,26371,12536,5199,3882,5734,5627,4935
Japan,16889,2289,5643,3054,1370,14437,491,45266,10960,9650,6422,4778
Mexico,0,0,0,0,45,128,237,22,610,133,76,4500
"Iran, Islamic Republic of",3592,3456,7642,9732,1033,27511,24264,6346,6049,4520,7962,3504
Malaysia,2015,425,1627,1194,1171,1386,637,901,1322,1658,1543,3421
Canada,169,50,476,767,208,167,89,271,152,2,2,3246
Italy,1275,1754,4969,1937,1216,1142,450,806,2580,2148,6776,2910
Lebanon,42,687,738,1293,65,10776,894,766,1093,1079,2246,2765
United Arab Emirates,13777,18742,31120,54511,87286,147879,49386,14527,4956,306,425,2715
Thailand,2343,3477,5476,4937,3086,640,6418,5774,3858,7363,4006,1919
United Kingdom,5800,8363,17332,13159,14597,4463,382,684,1504,2427,1121,1815
Germany,2914,4689,3311,3347,13102,1354,4387,3253,3027,4285,1022,1757
Czech Republic,0,0,0,0,107,11,81,45,19,0,11,1001
Ukraine,0,0,443,261,445,587,8146,0,298,404,533,967
Egypt,0,0,0,0,7039,0,0,0,5,995,879,681
Poland,25,0,0,0,32,16,42,21,1280,33,12,668
Kenya,0,0,0,0,0,181,28,11,0,0,304,658
Finland,0,420,35,1815,49,0,0,0,25,5,640,609
"Korea, Republic of",0,523,492,676,10300,430,1578,1693,1264,545,320,563
Estonia,0,0,0,0,0,0,0,0,8,0,0,539
Croatia,0,0,0,1,0,0,0,0,0,9,174,491
Sweden,1132,748,13521,1746,434,12,58,2,1231,4,2,477
"Hong Kong, China",3662,1340,1291,2668,988,8644,3013,825,250,363,173,415
Hungary,0,0,0,30,2308,10,14,18,417,40,38,334
Ireland,0,33,0,115,1940,0,2,3,1091,0,1,332
Indonesia,2150,1569,2889,1273,366,122,1907,1229,1704,1422,2704,301
Netherlands,0,1063,3772,1076,347,154,64,252,258,3,91,282
Portugal,0,0,0,0,0,8,15,2,86,39,28,258
Uzbekistan,372,238,154,131,461,256,0,43,2050,289,536,234
Denmark,35,115,345,8,11,37,26,3,66,159,116,215
Russian Federation,592,2842,801,1681,857,2468,2576,1408,884,757,111,215
Luxembourg,0,0,0,0,0,0,0,0,0,0,0,199
Singapore,219,1094,1203,223,2471,58,61,19,442,0,0,154
Philippines,0,0,0,0,292,84,132,73,139,63,75,151
France,869,688,208,256,5961,232,47,40,292,130,239,143
Turkmenistan,6,0,0,25,376,0,0,238,0,0,32,90
Latvia,0,0,0,0,0,0,0,0,0,0,0,84
Lithuania,0,0,0,0,2,0,0,0,6,3039,5612,60
Saudi Arabia,608,8538,1643,591,2479,4,448,0,0,4,20,39
Australia,23,814,57,4,13,24,24,0,168,7,12,38
Sri Lanka,0,1,0,6,0,0,0,221,345,331,92,32
Greece,0,0,0,2,9,5,0,0,0,0,101,21
Kazakhstan,0,454,66,153,27,725,103,2,107,76,6,16
Slovakia,0,367,1279,1512,157,0,0,0,235,0,1,16
Spain,19,3,4,146,22,1120,136,31,383,32,57,16
Romania,0,0,0,0,0,4,22,0,14,3,37,15
Argentina,0,0,0,0,0,0,26,0,0,22,0,13
Bulgaria,0,0,0,19,108,3,5,14,0,81,3,13
Norway,0,0,688,60,0,0,0,0,57,0,0,13
Georgia,0,0,0,0,0,0,0,0,0,0,0,11
Aruba,0,0,0,0,0,0,0,0,0,0,0,11
Bahrain,0,0,0,0,0,0,0,0,0,0,10,10
Eswatini,0,0,0,0,0,0,0,0,0,809,813,10
Belgium,0,49,211,498,3,9,41,0,44,0,1,8
