Exporters,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017
World,3344,4008,3398,2849,1655
United States of America,1929,2511,2425,2397,1353
Dominican Republic,768,888,278,91,146
Spain,4,0,71,181,71
France,502,333,37,14,28
"Hong Kong, China",0,0,0,23,28
India,0,0,0,34,14
Honduras,0,0,0,0,11
Netherlands,0,1,90,15,3
United Arab Emirates,0,6,0,0,2
Algeria,0,0,0,5,0
Bahamas,1,0,0,0,0
Belgium,0,0,2,1,0
Canada,0,4,2,1,0
China,111,144,0,0,0
Colombia,29,0,0,0,0
Costa Rica,0,5,0,0,0
Jamaica,0,112,488,74,0
Japan,0,0,3,0,0
Viet Nam,0,2,0,0,0
Eswatini,0,2,0,0,0
Ukraine,0,0,2,12,0
HHI,0.420778947,0.529329626,0.610108877,0.781974291,0.735711446
