Importers,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019,Exported value in 2020,Exported value in 2021,Exported value in 2022
World,945,17,525,57,100,9,31,651
"Congo, Democratic Republic of the",0,0,0,0,0,0,0,400
Kenya,0,0,0,0,0,0,0,92
Uganda,9,0,23,13,1,2,1,58
Rwanda,28,0,26,31,0,0,0,51
France,0,1,8,7,15,5,17,40
South Africa,0,0,2,6,2,2,0,5
United States of America,0,0,0,0,0,0,0,3
Gabon,0,0,0,0,0,0,0,2
Argentina,0,0,0,0,0,0,0,1
Angola,0,0,452,0,82,0,0,0
Burundi,0,0,0,0,0,0,13,0
China,0,0,0,0,0,0,0,0
Congo,641,0,0,0,0,0,0,0
Italy,0,0,14,0,0,0,0,0
Côte d'Ivoire,267,0,0,0,0,0,0,0
Morocco,0,0,0,0,0,0,0,0
Namibia,0,15,0,0,0,0,0,0
HHI,0.470914697,0.605014931,0.770244982,0.223047372,0.667812939,0.144172502,0.269148894,0.46683082
