Exporters,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017
World,10156,4191,5420,4271,6312
United States of America,3805,2159,2704,2661,1903
Argentina,0,0,0,0,715
Dominican Republic,332,205,465,328,511
South Africa,0,0,0,0,470
India,166,581,580,0,395
Italy,0,346,432,0,379
Colombia,0,0,0,0,326
Philippines,987,0,0,0,321
Spain,930,0,0,0,313
Malawi,0,145,0,191,310
Panama,871,0,15,20,221
Cambodia,0,0,0,369,215
Bangladesh,0,0,518,0,211
Honduras,220,0,5,2,12
France,197,61,50,44,10
Barbados,6,5,0,0,0
Belgium,25,0,122,0,0
Brazil,963,653,59,0,0
Belize,0,22,0,0,0
Canada,30,0,452,0,0
China,462,0,5,0,0
Jamaica,1093,0,0,0,0
Malaysia,0,0,0,3,0
Mozambique,0,0,0,637,0
Netherlands,28,0,5,11,0
Curaçao,24,13,7,6,0
Trinidad and Tobago,15,0,0,0,0
HHI,0.255880133,0.364220645,0.371294955,0.502678565,0.150864697
