Exporters,Imported value in 2003,Imported value in 2006,Imported value in 2007,Imported value in 2008,Imported value in 2009,Imported value in 2010,Imported value in 2011,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021,Imported value in 2022
World,22,4,190,433,262,295,336,524,446,370,675,1002,1262,1012,1544,1239,1425,958
Cameroon,20,0,156,352,262,273,0,489,426,367,671,1002,1086,851,1507,1192,1116,882
Morocco,0,0,0,0,0,0,0,0,0,0,0,0,69,15,0,0,33,33
France,2,0,34,59,0,0,119,0,0,0,3,0,7,0,0,7,222,18
Tunisia,0,0,0,0,0,0,0,0,0,0,0,0,25,2,0,0,0,13
Türkiye,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,13,11,10
United Arab Emirates,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,2
Lebanon,0,0,0,23,0,19,31,28,20,0,0,0,0,1,0,0,0,1
China,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
"Congo, Democratic Republic of the",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Germany,0,0,0,0,0,0,25,0,0,0,0,0,0,77,0,0,0,0
Ghana,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0
Italy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,26,0,0
Côte d'Ivoire,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0
Japan,0,0,0,0,0,0,89,0,0,0,0,0,0,0,0,0,0,0
Netherlands,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Saudi Arabia,0,0,0,0,0,0,43,1,0,0,0,0,0,0,0,0,0,0
India,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0
Spain,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0
Togo,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0
Turks and Caicos Islands,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0
HHI,0.705097496,1,0.454842517,0.588271513,1,0.85534934,0.162710058,0.86957069,0.850488259,0.972518328,0.979801545,1,0.754994592,0.753342707,0.919186948,0.924737596,0.660721025,0.874067956
