Importers,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019,Exported value in 2020,Exported value in 2021,Exported value in 2022
World,3,80,2007,864,264,59,33,731
"Congo, Democratic Republic of the",0,0,0,0,0,0,0,457
Kenya,0,0,0,0,0,0,0,142
Rwanda,0,0,0,0,0,0,0,77
Uganda,0,38,8,84,1,48,11,29
China,0,0,0,0,0,0,0,16
Canada,0,0,0,0,0,2,0,6
Angola,0,30,62,15,193,0,0,3
Belgium,2,12,0,15,0,0,17,3
Congo,0,0,1936,551,0,0,0,0
France,0,0,0,0,0,0,1,0
Malawi,0,0,0,200,68,0,0,0
South Africa,1,0,0,0,1,3,0,0
United States of America,0,0,0,0,0,0,3,0
Zambia,0,0,0,0,2,7,0,0
HHI,0.130590976,0.109187166,0.917488589,0.431631201,0.593269888,0.648865967,0.242054638,0.481314788
