Importers,Exported value in 2013,Exported value in 2014,Exported value in 2015,Exported value in 2016,Exported value in 2017
World,2540,2954,3957,10331,4312
France,0,1,5,4610,3082
United States of America,629,1688,1542,3804,1024
Malaysia,0,0,0,75,146
Spain,238,182,196,74,55
Belgium,0,0,38,103,2
Canada,0,1,0,56,1
Algeria,0,0,418,0,0
Germany,0,0,743,0,0
Italy,232,577,188,1327,0
Netherlands,360,0,820,126,0
India,0,0,0,70,0
Eswatini,1025,505,0,0,0
Switzerland,57,0,7,85,0
HHI,0.174903738,0.375817489,0.244012904,0.404829727,0.584347329
