Importers,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2015
World,2757655,2613846,2916389,3219724,3494835,4176327,4583267,5640255,5797308,7034407,9191513,9815330,9959687,13719503
United States of America,1484952,1380663,1251891,1343121,1730817,2072509,2206201,2428308,2607670,3169811,3575378,3462173,3413746,4221617
Germany,317574,307220,510601,596890,562880,678272,755798,726871,772436,831631,1287252,1381722,1409613,1836535
United Kingdom,237015,241716,295030,338707,324339,344840,411149,440915,518593,613073,895763,1096315,1050463,1626784
Spain,43086,54851,82957,101420,92652,119534,113535,125744,136182,181437,327409,443892,465269,765973
France,147054,148379,164986,191107,188913,202358,214327,232086,261520,312171,428224,416958,443786,648241
Canada,59946,49853,129786,174443,157719,186779,207790,244648,303165,371609,484953,499742,450095,568262
Italy,105510,93722,92478,100668,96845,130802,126305,147795,152282,196170,272701,295591,324028,472075
Japan,9917,11990,11083,10989,10273,11922,17123,28081,72538,144009,205863,234257,273358,358349
Türkiye,97,108,1434,6205,13409,23677,40097,84996,103743,177388,251129,217848,325081,348694
Belgium,67048,54987,72065,65250,58495,78411,99572,90484,94294,102174,216908,224259,248788,344433
Netherlands,133292,112643,128281,118288,97150,121423,137379,310221,390945,435723,285221,228972,220839,289976
Poland,2587,2041,3450,870,2548,3597,2909,4695,6327,6201,83470,126551,149858,227830
Australia,1391,1161,1604,2885,3055,3392,5020,6341,22317,30247,68270,130690,113997,216603
Denmark,19590,21189,22705,15994,12966,16396,15920,20030,26880,33083,67754,126680,104233,211632
China,200,227,449,1578,1377,4358,5407,3894,7107,19579,42424,71894,88111,174585
Czech Republic,568,428,780,1128,2585,3176,1225,1254,1618,1490,23330,32843,39058,153656
Sweden,39787,41293,50076,51440,43352,44435,47615,45771,50091,68084,105298,117750,107347,141600
"Korea, Republic of",3113,2306,2472,2975,2369,2904,4341,3560,12210,22121,52266,68396,54774,95092
Russian Federation,866,393,663,832,835,2021,4770,5733,4873,6228,17121,29224,49521,92110
United Arab Emirates,1636,1832,758,1877,1174,2366,5485,6989,11631,19521,31934,56257,61441,82216
India,408,314,500,1966,224,1695,4193,7664,5221,12146,32207,46533,61157,81132
