Exporters,Imported value in 2003,Imported value in 2004,Imported value in 2005,Imported value in 2006,Imported value in 2007,Imported value in 2008,Imported value in 2009,Imported value in 2010,Imported value in 2011,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021,Imported value in 2022
World,178,158,235,395,344,288,745,1528,795,314,32,295,721,723,1104,1318,2802,1458,1636,1644
Lao People's Democratic Republic,0,0,0,0,0,0,0,139,0,0,0,0,19,41,171,132,262,208,445,719
Malaysia,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,384,402
Viet Nam,1,0,0,0,0,0,0,0,0,0,0,289,197,302,341,350,380,435,492,353
India,57,48,67,150,43,0,449,854,0,0,0,0,0,0,0,0,0,35,266,101
China,0,0,0,0,26,114,87,351,693,313,32,0,497,366,454,533,2138,660,45,57
Thailand,94,30,16,161,269,106,85,31,63,0,0,0,0,15,62,30,22,0,0,11
Türkiye,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Czech Republic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0
France,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Germany,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,26,0,0
"Hong Kong, China",0,14,0,0,0,0,0,0,0,0,0,0,0,0,76,273,0,0,0,0
Hungary,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0
Indonesia,15,61,136,78,0,63,124,125,31,0,0,0,0,0,0,0,0,0,0,0
"Korea, Republic of",0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
"Taipei, Chinese",0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Singapore,5,5,8,5,6,2,0,29,7,2,0,0,0,0,0,0,0,0,0,0
United Kingdom,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
United States of America,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0
HHI,0.396305534,0.158853088,0.408828441,0.182362505,0.591388569,0.246055959,0.29241881,0.353026202,0.752410287,0.989196186,1,0.931279138,0.533328158,0.31815886,0.175860719,0.160978612,0.561289403,0.324383607,0.221442658,0.276118836
