Importers,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019,Exported value in 2020,Exported value in 2021,Exported value in 2022
World,5083,193,4676,3503,2715,739,1572,2922
Ukraine,0,0,0,0,0,0,0,1351
"Tanzania, United Republic of",0,0,2577,1552,1510,0,573,893
"Congo, Democratic Republic of the",0,0,0,0,0,0,0,678
Bangladesh,919,193,0,0,0,0,484,0
Botswana,0,0,0,0,0,1,0,0
Brazil,0,0,0,0,0,0,13,0
Benin,0,0,0,360,0,0,0,0
Ghana,0,0,0,256,0,592,0,0
Jordan,935,0,0,0,0,0,0,0
Morocco,0,0,0,1143,0,1,0,0
Pakistan,53,0,0,193,0,145,0,0
India,0,0,1518,0,208,0,0,0
South Africa,0,0,0,0,0,0,218,0
Uganda,0,0,0,0,944,0,0,0
Egypt,3176,0,0,0,53,0,0,0
Uruguay,0,0,580,0,0,0,284,0
HHI,0.352099208,1,0.175524416,0.217026259,0.321315558,0.649528052,0.147534572,0.055579916
