Exporters,Imported value in 2008,Imported value in 2009,Imported value in 2010,Imported value in 2011,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019
World,162443,359929,229567,219887,119874,268972,523145,473225,668231,758629,776615,591707
Kazakhstan,118568,266953,181913,149481,115510,0,311877,286265,413299,570614,495816,302657
Pakistan,1245,1098,22457,52744,0,238488,155284,129682,181178,72081,135513,155547
Uzbekistan,14063,24762,4830,5967,97,7700,21320,24402,28172,98545,133755,106843
"Iran, Islamic Republic of",4567,645,6600,925,3218,604,1134,5887,8205,13403,10543,23977
Türkiye,0,4,13,0,186,0,30,62,242,289,546,920
India,0,0,141,0,0,0,0,235,63,21,18,577
China,0,66,58,6636,7,497,395,444,10,140,70,502
United States of America,755,80,466,260,10,0,0,760,0,0,0,398
Turkmenistan,1732,203,297,0,186,12184,31772,24851,36432,3490,223,248
United Arab Emirates,0,15,247,45,580,98,1279,151,575,46,132,38
Azerbaijan,39,31,0,0,0,0,0,0,0,0,0,0
Bulgaria,39,0,0,0,0,0,0,0,0,0,0,0
Canada,0,0,31,871,0,0,0,0,0,0,0,0
Sri Lanka,0,0,0,0,0,3,0,0,0,0,0,0
Indonesia,0,0,160,0,35,0,35,38,0,0,0,0
Japan,0,154,206,547,0,0,14,0,0,0,0,0
Kyrgyzstan,190,0,0,0,0,0,0,0,0,0,0,0
Malaysia,0,0,0,49,0,0,0,0,0,0,0,0
Russian Federation,8098,33246,2148,1186,45,203,0,320,0,0,0,0
Saudi Arabia,0,0,43,0,0,0,0,0,0,0,0,0
Viet Nam,0,0,0,0,0,0,0,38,0,0,0,0
Tajikistan,5677,31275,9957,1176,0,9195,0,89,5,0,0,0
Thailand,0,0,0,0,0,0,6,0,0,0,0,0
Ukraine,7471,1398,0,0,0,0,0,0,51,0,0,0
HHI,0.633975634,0.666461127,0.733951689,0.609314506,0.947327598,0.833417944,0.527520948,0.547295187,0.540342687,0.654110203,0.526037838,0.421066393
