Exporters,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021,Imported value in 2022
World,65,73,99,56,111,347,601,726
Kenya,14,14,34,0,0,296,465,243
India,0,0,9,0,9,9,9,180
China,11,12,5,25,29,11,60,175
"Tanzania, United Republic of",0,1,5,0,1,0,17,39
Zambia,1,17,5,13,8,25,17,27
Japan,0,0,0,0,0,0,0,23
Angola,0,0,0,0,0,0,16,19
United Arab Emirates,23,8,13,7,7,1,3,11
Belgium,0,0,0,0,2,2,0,9
Uganda,0,0,0,0,43,0,1,1
Australia,0,1,0,0,0,0,0,0
France,0,0,0,0,0,0,1,0
Germany,0,4,0,0,1,0,0,0
"Korea, Republic of",0,0,0,3,0,0,0,0
Netherlands,0,0,0,0,1,0,0,0
Pakistan,0,0,0,0,0,0,5,0
Portugal,1,0,0,0,0,0,0,0
Rwanda,0,0,0,6,0,0,0,0
Slovakia,0,0,0,0,2,0,0,0
South Africa,1,2,5,2,7,2,2,0
Switzerland,0,0,22,0,0,0,5,0
Togo,13,12,0,0,0,0,0,0
HHI,0.181498946,0.102233598,0.150123413,0.211371976,0.268157871,0.770247699,0.693335299,0.250919804
