Exporters,Imported value in 2008,Imported value in 2009,Imported value in 2010,Imported value in 2011,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019
World,0,0,0,0,0,0,0,0,0,187,308,378
Türkiye,0,0,0,0,0,0,0,0,0,76,151,148
Pakistan,0,0,0,0,0,0,0,0,0,103,105,110
"Iran, Islamic Republic of",0,0,0,0,0,0,0,0,0,0,5,59
Thailand,0,0,0,0,0,0,0,0,0,7,11,40
Finland,0,0,0,0,0,0,0,0,0,0,0,14
China,0,0,0,0,0,0,0,0,0,0,3,6
Kenya,0,0,0,0,0,0,0,0,0,0,0,1
Tajikistan,0,0,0,0,0,0,0,0,0,0,1,0
United Arab Emirates,0,0,0,0,0,0,0,0,0,0,1,0
Uzbekistan,0,0,0,0,0,0,0,0,0,0,30,0
HHI,0,0,0,0,0,0,0,0,0,0.255969323,0.391126543,0.235687635
