Exporters,Imported value in 2004,Imported value in 2005,Imported value in 2006,Imported value in 2007,Imported value in 2009,Imported value in 2010,Imported value in 2011,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021,Imported value in 2022
World,66494,87434,127893,197897,316243,292107,360389,449212,418545,571978,255384,287199,220151,240222,216593,239133,275073,367546
Portugal,17694,27399,28756,29526,61209,40884,80852,94156,94334,89496,38443,32194,45862,45693,45338,68427,70584,82346
China,1654,5800,6730,16228,28075,15834,23109,24580,26202,33991,25916,23847,24188,66080,54551,43420,34884,75321
United States of America,5871,11711,25105,44164,66788,86110,55573,103748,85929,79051,36525,54818,13965,13584,18953,18339,26117,34015
United Kingdom,3979,4313,9582,23389,23481,30025,65050,35935,70065,152559,70717,79537,19195,18939,16246,17457,24876,27204
Italy,906,1029,1157,602,1535,2217,6443,5403,4883,4875,1781,7796,29116,2153,1325,1820,11500,25053
Germany,2708,6419,4800,14769,8890,11228,16592,21210,11425,19025,8745,12674,13736,7670,11589,14750,8289,15417
India,1350,511,338,1479,1428,1417,2796,10800,3388,5493,1202,1011,3080,6459,3115,3882,5921,13606
France,4802,4358,5955,7961,24815,11438,19996,23424,21449,21008,6527,6646,11648,7904,12421,10562,20099,12779
South Africa,6732,10047,12104,5477,14961,8367,15063,17709,12893,13155,6560,6237,9793,7903,8462,7006,8472,11786
Norway,192,297,236,3740,10527,26454,6804,21762,12522,27308,5345,17682,7638,12988,6779,10934,12209,10616
United Arab Emirates,1038,1271,2296,867,1795,2719,2394,1931,6362,8704,1223,4880,5847,6534,6373,4937,7106,10138
Spain,481,1119,5044,11487,7015,3383,5323,7768,8852,32992,5942,1318,1380,1173,6080,3069,2289,5417
Japan,1037,1266,3476,1245,3022,3933,4579,5785,5581,2864,612,1550,1309,2496,1342,1586,2686,5082
Brazil,7513,1705,6678,2725,10743,4924,6068,5255,6827,7315,1839,2341,3806,2114,938,4961,2346,4464
Malaysia,1,0,77,64,10,1,14,1335,318,289,1613,32,8304,4996,1159,103,4378,4425
Singapore,215,101,722,2406,1494,4077,1843,7070,11027,7221,4113,7806,2620,3643,2228,1954,1467,4208
Belgium,1900,915,3631,14565,9092,17509,11524,12579,6307,6405,3577,4398,4749,9665,4756,6520,1960,3519
Canada,45,276,494,2026,2083,867,1824,2721,2122,2413,232,719,131,1023,374,424,1201,3165
Netherlands,3432,2687,4781,3337,6971,5071,8160,19935,10110,18571,5209,3467,2497,1872,3167,4344,1946,3080
Romania,30,0,0,106,0,2,0,6,0,127,11,21,27,5,864,243,3309,1281
