Exporters,Imported value in 2008,Imported value in 2009,Imported value in 2010,Imported value in 2011,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019
World,23431,32960,68451,23584,54732,77708,145383,115299,61968,391242,210701,227335
Pakistan,11706,849,5486,13313,48252,61637,117624,87414,17833,351455,182885,148029
India,5670,1317,6073,0,22,534,153,19664,7450,1993,3227,61858
United Arab Emirates,1910,992,3761,2035,580,4140,10008,4435,25405,17373,12022,9146
"Iran, Islamic Republic of",7,0,1757,1786,3087,11139,15565,474,3520,16246,8664,3081
Saudi Arabia,359,5388,14302,294,0,0,0,0,0,1180,1595,1292
Türkiye,0,5,113,0,196,7,1,27,1319,382,599,974
Netherlands,0,0,0,0,0,0,0,0,0,0,0,900
Russian Federation,20,5480,4470,378,5,0,0,0,298,0,0,625
Ukraine,0,0,222,324,0,0,0,0,35,0,0,419
China,0,58,244,89,91,160,1062,938,2215,189,258,335
United States of America,0,0,200,10,3,30,9,0,0,0,129,173
Uzbekistan,1,3488,0,0,0,0,0,0,0,398,469,141
Poland,0,0,0,0,0,0,0,0,0,0,0,133
Turkmenistan,0,0,0,0,0,0,0,11,527,47,115,104
Japan,0,0,0,14,0,0,0,0,0,9,133,47
"Korea, Republic of",0,0,0,97,0,0,45,7,0,1880,579,41
Bangladesh,0,0,0,0,0,0,0,0,0,0,0,24
Kazakhstan,0,148,24,0,0,0,0,0,1509,0,25,9
Indonesia,48,0,0,32,0,0,113,0,1039,0,0,3
Aruba,0,0,0,0,0,0,0,0,0,0,0,1
Azerbaijan,0,6018,8227,1265,1920,0,0,0,8,78,0,0
Argentina,0,0,0,130,0,0,0,0,0,0,0,0
Brazil,994,5661,20944,3743,482,0,0,1791,810,0,0,0
Canada,0,0,90,2,0,0,0,0,0,0,0,0
Colombia,0,1154,213,0,0,0,0,0,0,0,0,0
Cuba,0,339,0,0,0,0,0,0,0,0,0,0
Germany,0,0,1505,73,52,0,0,0,0,5,0,0
"Hong Kong, China",454,0,0,0,0,0,0,59,0,0,0,0
Italy,0,0,0,0,0,0,0,0,0,7,0,0
Kenya,0,0,0,0,0,59,113,0,0,0,0,0
Malaysia,0,232,649,0,0,0,0,212,0,0,0,0
"Taipei, Chinese",26,67,0,0,0,0,0,0,0,0,0,0
Romania,0,0,0,0,41,0,0,0,0,0,0,0
Singapore,0,0,0,0,0,0,136,0,0,0,0,0
Viet Nam,0,0,36,0,0,0,454,30,0,0,0,0
Tajikistan,0,270,0,0,0,0,101,91,0,0,0,0
Thailand,2219,1493,134,0,0,0,0,146,0,0,0,0
United Kingdom,16,0,0,0,0,0,0,0,0,0,0,0
HHI,0.406523176,0.165046594,0.244502742,0.467302915,0.837234172,0.702723921,0.749608816,0.697382052,0.337164138,0.864063875,0.821502901,0.622676134
