Exporters,Imported value in 2001,Imported value in 2002,Imported value in 2003,Imported value in 2004,Imported value in 2005,Imported value in 2006,Imported value in 2007,Imported value in 2008,Imported value in 2009,Imported value in 2010,Imported value in 2011,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018
World,835,715,844,1645,1474,2059,2944,2298,1944,4343,4095,4750,6590,5579,4172,5549,5904,5806
Australia,490,432,433,669,885,1108,1684,1202,672,2473,2873,3040,3765,4180,3054,4027,4189,3858
China,206,65,59,645,279,214,343,489,750,1495,220,401,738,551,541,567,533,1197
Bangladesh,0,0,0,0,0,0,0,32,20,90,316,152,69,269,155,186,282,212
"Hong Kong, China",17,11,93,43,78,73,76,33,5,28,42,165,38,43,151,148,148,88
Singapore,41,38,69,118,139,138,225,329,113,110,142,264,151,41,15,100,33,87
New Zealand,6,4,14,35,42,22,43,11,2,12,150,209,53,130,57,108,149,80
Malaysia,2,2,0,3,4,15,59,5,2,16,36,6,109,78,29,25,171,77
Fiji,18,1,2,1,16,3,74,26,11,19,15,63,40,46,22,101,219,68
India,1,7,27,31,0,0,1,67,311,1,8,84,5,23,21,71,68,51
United States of America,0,0,5,0,0,0,0,2,15,28,42,35,58,48,23,35,47,46
Indonesia,9,4,0,0,3,3,92,0,0,15,0,5,1,8,1,3,0,12
Sri Lanka,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
"Korea, Republic of",0,0,0,3,0,9,26,0,2,2,3,1,0,1,8,3,0,5
Papua New Guinea,0,0,6,0,15,9,73,39,30,29,31,51,30,25,6,15,6,4
United Kingdom,0,2,0,2,0,1,0,0,0,2,0,0,0,1,0,5,4,4
Brazil,25,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"Taipei, Chinese",2,4,2,4,2,2,8,9,3,11,17,48,81,24,19,30,10,2
Philippines,0,0,4,0,0,5,0,0,0,2,5,26,3,12,8,1,0,2
Italy,0,0,0,1,0,0,50,0,1,1,1,2,1,0,0,0,0,1
Thailand,11,30,125,79,4,2,12,1,2,4,34,12,6,7,8,5,3,1
"Korea, Democratic People's Republic of",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,25,0,0
United States Minor Outlying Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
Austria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0
Brunei Darussalam,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0
Canada,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,47,0,0
Denmark,0,0,0,0,0,0,0,0,0,0,0,103,1388,0,0,8,6,0
Germany,4,0,0,0,0,0,0,47,0,0,0,0,0,5,0,0,0,0
Japan,1,0,3,3,5,7,26,5,2,1,6,3,17,22,28,39,2,0
Netherlands,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
New Caledonia,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0
Vanuatu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
Pakistan,0,0,0,7,0,0,0,0,0,0,0,80,10,1,26,0,1,0
Viet Nam,0,0,0,0,1,141,144,0,0,1,1,0,0,0,0,1,0,0
Spain,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sweden,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0
Switzerland,0,76,0,0,0,264,0,0,2,1,152,0,1,0,0,0,0,0
United Arab Emirates,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0
HHI,0.508899962,0.490564708,0.395459266,0.424120758,0.501265491,0.445394716,0.46416445,0.439723023,0.405565399,0.573193736,0.624886412,0.552200541,0.517261065,0.692452961,0.667051702,0.66332724,0.638622643,0.610356756
