Exporters,Imported value in 2008,Imported value in 2009,Imported value in 2010,Imported value in 2011,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019
World,11151,41233,192253,177635,472423,542526,259395,197168,156819,362274,330665,390548
Pakistan,2697,29072,160344,141675,274556,278548,161939,110622,72663,149627,132682,180030
"Iran, Islamic Republic of",2849,11881,29868,30655,180390,255751,94597,83428,68106,163133,149895,151439
Tajikistan,0,2,0,0,45,0,74,0,9074,45188,42868,44747
Uzbekistan,404,47,139,425,1537,137,0,0,0,1486,6,10308
Turkmenistan,0,0,7,0,0,0,0,0,4323,1478,3178,2735
China,726,170,1528,4348,8131,1725,1568,2578,1832,1313,1768,1000
India,0,0,25,0,3,28,0,27,29,18,144,128
Türkiye,0,0,108,40,485,2490,166,129,120,4,65,83
United Arab Emirates,0,11,99,117,5143,3721,735,133,211,24,43,60
Russian Federation,0,17,6,0,0,0,0,0,35,0,0,10
United States of America,0,0,4,0,1358,0,0,0,1,0,7,6
Bahrain,0,0,0,0,0,0,0,0,0,0,7,1
France,0,0,24,0,0,0,0,68,220,1,1,0
Germany,0,0,0,28,614,0,0,4,0,0,0,0
Indonesia,0,0,0,0,160,71,139,27,123,0,0,0
Japan,3,26,81,225,1,0,0,0,6,0,1,0
Kazakhstan,19,7,0,0,0,0,0,38,0,0,0,0
"Korea, Republic of",0,0,0,8,0,0,0,0,0,0,0,0
Kyrgyzstan,4445,0,0,0,0,0,0,0,0,0,0,0
Malaysia,0,0,0,55,0,0,147,0,0,0,0,0
Saudi Arabia,7,0,20,58,0,55,0,0,52,0,0,0
Viet Nam,0,0,0,0,0,0,30,113,0,0,0,0
Thailand,0,0,1,0,0,0,0,0,0,0,0,0
United Kingdom,0,0,0,0,0,0,0,0,22,0,0,0
HHI,0.283570219,0.642527345,0.793118927,0.737134015,0.572199865,0.545610698,0.584556805,0.574578167,0.51254578,0.449627241,0.473073945,0.457044932
