Exporters,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017
World,3982,4817,4919,4024,3717
China,768,989,1010,1351,1292
United States of America,1250,1504,1379,1081,966
Germany,462,299,189,193,305
Dominican Republic,271,242,139,180,252
Colombia,302,527,305,389,246
Türkiye,0,92,153,143,137
France,118,233,141,351,128
Mexico,59,58,12,19,107
Belgium,4,6,13,2,67
"Hong Kong, China",7,290,342,92,66
United Kingdom,1,14,0,34,52
Netherlands,94,6,13,43,36
Denmark,0,1,10,0,24
Panama,354,296,84,34,16
India,37,83,1,0,13
Canada,32,19,2,0,4
Australia,0,0,0,1,1
Italy,8,0,0,4,1
Japan,0,5,38,0,1
Eswatini,0,13,1,3,1
Antigua and Barbuda,2,0,0,0,0
Bahamas,56,0,18,52,0
Bangladesh,0,0,0,11,0
Brazil,0,0,1,0,0
El Salvador,1,0,0,0,0
Ireland,3,0,0,0,0
Jamaica,64,60,21,39,0
"Korea, Republic of",0,5,0,0,0
"Taipei, Chinese",0,8,28,0,0
Paraguay,0,0,4,0,0
Peru,6,0,0,0,0
South Africa,0,0,1015,0,0
Spain,1,23,2,0,0
Switzerland,28,0,0,0,0
Thailand,22,39,0,0,0
United Arab Emirates,0,2,0,1,0
Uruguay,31,0,0,0,0
HHI,0.265238083,0.259774293,0.271408258,0.30008464,0.300046436
