Exporters,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017
World,772,587,701,519,461
China,279,325,441,358,270
United States of America,399,199,112,105,107
Mexico,0,0,11,26,40
Netherlands,0,0,0,0,21
"Hong Kong, China",51,17,22,12,11
Panama,35,12,14,16,10
Dominican Republic,1,17,0,0,1
Canada,3,2,2,0,0
Colombia,0,0,11,0,0
France,4,1,0,0,0
"Korea, Republic of",0,14,88,0,0
Curaçao,0,0,0,1,0
Viet Nam,0,1,0,0,0
HHI,0.414444453,0.476905529,0.477953204,0.529567015,0.418671448
