Importers,Exported value in 2008,Exported value in 2009,Exported value in 2010,Exported value in 2011,Exported value in 2012,Exported value in 2013,Exported value in 2014,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019
World,0,0,0,0,0,0,0,0,0,5,14,22
Tajikistan,0,0,0,0,0,0,0,0,0,3,14,18
Germany,0,0,0,0,0,0,0,0,0,0,0,3
Denmark,0,0,0,0,0,0,0,0,0,0,0,1
France,0,0,0,0,0,0,0,0,0,0,0,0
India,0,0,0,0,0,0,0,0,0,0,0,0
United Arab Emirates,0,0,0,0,0,0,0,0,0,0,0,0
United Kingdom,0,0,0,0,0,0,0,0,0,2,0,0
Uzbekistan,0,0,0,0,0,0,0,0,0,0,0,0
HHI,0,0,0,0,0,0,0,0,0,0.047810851,1,0.599460601
