Exporters,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017
World,638,262,252,863,1508
United Kingdom,0,0,0,0,1093
Honduras,0,0,0,0,130
China,7,7,33,17,120
Dominican Republic,137,100,0,730,101
United States of America,60,88,118,101,31
"Taipei, Chinese",19,3,32,2,17
Mexico,182,55,1,13,16
Germany,0,1,0,0,1
France,0,0,1,0,0
"Hong Kong, China",0,3,4,0,0
Jamaica,1,1,0,0,0
Curaçao,2,0,0,0,0
Panama,1,4,0,0,0
India,228,0,0,0,0
Thailand,0,0,0,1,0
Trinidad and Tobago,0,0,62,0,0
HHI,0.272266533,0.326769891,0.292286476,0.753795634,0.594293361
