Exporters,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017
World,31226,37857,35589,31127,21656
China,3192,2787,3653,4001,7242
United States of America,11835,15410,14339,13377,4950
Canada,5520,4198,3693,3858,2533
Dominican Republic,3333,8295,6630,5382,2488
Brazil,69,588,545,1315,1549
Peru,4540,2859,1651,1090,1514
United Kingdom,0,0,35,366,508
France,279,219,493,531,170
Netherlands,159,150,54,532,165
Poland,0,0,0,0,157
Thailand,67,159,0,125,149
Türkiye,0,38,0,215,122
India,0,0,0,0,55
Barbados,0,0,0,0,28
Denmark,0,15,10,11,12
Saudi Arabia,0,0,0,0,6
Italy,2,3,2,8,2
Viet Nam,0,2,0,1,2
United Arab Emirates,0,0,1,0,2
Belgium,0,0,0,4,1
Bahamas,0,231,0,0,0
Cambodia,0,0,0,118,0
Chile,1255,2586,3908,0,0
Colombia,744,0,0,0,0
Germany,0,23,1,0,0
Ghana,0,0,3,0,0
"Hong Kong, China",0,67,304,149,0
Jamaica,41,228,184,23,0
Japan,0,0,1,0,0
Panama,144,0,0,0,0
Philippines,0,0,79,0,0
Spain,0,0,2,0,0
Trinidad and Tobago,0,0,0,8,0
Tunisia,44,0,0,0,0
Ukraine,0,1,0,15,0
HHI,0.284523072,0.340912603,0.33382983,0.356388394,0.290551178
