Exporters,Imported value in 2003,Imported value in 2006,Imported value in 2007,Imported value in 2008,Imported value in 2009,Imported value in 2010,Imported value in 2011,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021,Imported value in 2022
World,50,0,138,320,94,69,187,197,72,525,235,417,690,994,1076,2523,1989,2307
Cameroon,0,0,8,9,0,10,3,17,0,0,4,0,0,0,147,108,671,1388
China,0,0,6,27,0,2,5,5,0,0,0,0,59,282,238,335,28,328
Uganda,0,0,0,0,0,0,0,0,0,0,0,148,0,0,212,0,128,195
France,25,0,10,102,39,36,12,129,58,394,101,36,482,621,183,607,794,153
United Arab Emirates,0,0,0,0,0,0,1,5,1,7,22,0,0,0,0,199,8,75
Denmark,0,0,0,0,0,0,0,0,0,0,31,0,29,0,0,0,73,61
Senegal,6,0,0,0,0,0,0,0,12,0,21,0,0,0,0,0,0,57
India,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,49,32
Belgium,0,0,0,0,0,0,13,0,0,0,0,1,0,30,6,153,144,7
Kenya,0,0,0,0,0,0,0,20,0,0,0,54,0,48,0,167,1,7
South Africa,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0,5,0,3
"Korea, Democratic People's Republic of",0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Spain,0,0,0,0,0,0,29,0,0,0,0,0,0,0,2,2,0,1
Chad,0,0,0,0,0,0,0,0,0,14,0,0,1,0,0,0,0,0
Argentina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0
Australia,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0
Bangladesh,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Bulgaria,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Congo,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
Czech Republic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
Estonia,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
Germany,0,0,0,0,0,0,6,0,0,0,48,0,4,1,0,4,0,0
"Hong Kong, China",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Italy,0,0,0,46,0,0,0,19,0,0,0,12,0,0,156,0,0,0
Japan,0,0,0,0,0,0,107,0,0,0,0,0,0,0,0,0,0,0
Malaysia,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0
Mali,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Morocco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
Netherlands,0,0,0,0,1,1,1,0,0,6,0,0,0,11,1,927,14,0
Nigeria,0,0,16,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0
Philippines,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0
Portugal,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saudi Arabia,0,0,2,3,2,5,0,0,0,0,0,0,0,0,0,0,0,0
Viet Nam,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Suriname,0,0,0,0,0,0,0,0,0,0,0,138,0,0,0,0,0,0
Switzerland,0,0,0,0,0,0,0,0,0,37,0,0,34,0,2,16,0,0
Thailand,8,0,25,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0
Togo,8,0,64,39,46,15,1,2,0,0,0,0,0,0,0,0,0,0
Tunisia,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0
Turks and Caicos Islands,0,0,0,1,3,0,4,0,0,0,0,0,44,0,0,0,0,0
"Macedonia, North",0,0,0,0,0,0,0,0,0,6,9,0,0,0,0,0,0,0
Egypt,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United Kingdom,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0
United States of America,0,0,0,0,0,0,1,0,0,17,0,0,0,0,118,0,37,0
HHI,0.262461129,0,0.262734356,0.205153324,0.397711991,0.30524375,0.470190921,0.479442467,0.580582987,0.645436078,0.215794318,0.248139115,0.576963193,0.473758339,0.184163303,0.249948446,0.364276025,0.487353385
