Exporters,Imported value in 2001,Imported value in 2002,Imported value in 2003,Imported value in 2004,Imported value in 2005,Imported value in 2006,Imported value in 2007,Imported value in 2008,Imported value in 2009,Imported value in 2010,Imported value in 2011,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018
World,0,52,20,55,45,168,48,123,104,87,70,35,0,20,10,14,0,29
New Zealand,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8,11,0,29
Australia,0,51,20,29,36,167,48,119,104,0,8,0,0,4,0,2,0,0
China,0,0,0,26,9,0,0,0,0,87,62,35,0,2,1,0,0,0
Japan,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"Korea, Republic of",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malaysia,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
Singapore,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
United States of America,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0
HHI,0,0.93498569,1,0.003588725,0.401219067,0.979738146,1,0.923702581,1,1,0.63487417,1,0,0.378404875,0.556142721,0.312362729,0,1
