Importers,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019,Exported value in 2020,Exported value in 2021,Exported value in 2022
World,37,128,1241,91,230,68,2,508
"Congo, Democratic Republic of the",0,0,0,0,0,0,0,227
Kenya,0,0,0,0,0,0,0,161
Rwanda,37,0,11,0,0,8,0,50
Uganda,0,0,10,91,183,60,1,41
Pakistan,0,0,0,0,45,0,0,29
Angola,0,0,0,0,0,0,1,0
Belgium,0,0,0,0,1,0,0,0
Cameroon,0,22,0,0,0,0,0,0
Congo,0,0,806,0,0,0,0,0
France,0,0,1,0,0,0,0,0
Zambia,0,106,413,0,0,0,0,0
HHI,1,0.473436214,0.51133838,1,0.572615969,0.624987994,0,0.213645192
