Importers,Exported value in 2003,Exported value in 2004,Exported value in 2005,Exported value in 2006,Exported value in 2007,Exported value in 2008,Exported value in 2009,Exported value in 2010,Exported value in 2011,Exported value in 2012,Exported value in 2013,Exported value in 2014,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019,Exported value in 2020,Exported value in 2021,Exported value in 2022
World,5435,7074,9240,11766,23032,33268,25178,33174,58926,36213,68232,47604,27832,10454,12401,2588,2890,19432,36080,90357
"Congo, Democratic Republic of the",1109,4287,8054,11636,22265,33002,20839,26690,32055,33474,67467,44321,24371,7894,11348,1923,2285,18682,34340,87423
Equatorial Guinea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1337
Congo,0,0,0,0,0,0,0,4,0,0,41,465,44,0,212,22,0,0,505,421
Zimbabwe,1608,1938,1027,23,591,19,4060,5719,25702,329,67,1461,2266,2184,181,18,146,268,491,411
Pitcairn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,392
South Africa,32,153,7,36,71,54,40,15,7,5,13,156,36,0,0,99,0,352,1,199
Angola,20,66,11,0,0,4,5,0,1,417,12,4,23,10,0,0,0,10,21,109
United States of America,0,0,0,0,0,0,0,0,0,0,25,14,68,51,47,64,21,83,35,62
Botswana,0,2,0,2,3,1,0,13,27,503,171,113,90,2,9,0,0,0,0,4
Burundi,0,0,0,0,0,0,0,418,1,137,3,0,0,0,41,0,0,0,3,0
China,0,0,0,0,0,0,0,0,0,0,0,0,102,0,0,0,0,0,0,0
Colombia,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0
Cyprus,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0
France,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0
Germany,20,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0
Italy,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kenya,0,0,0,0,0,0,0,0,4,0,0,0,0,0,354,72,0,20,0,0
Madagascar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197,0,0,0
Malawi,2303,492,87,44,9,80,123,313,110,14,30,28,165,239,10,386,241,0,1,0
Mauritius,166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mozambique,0,0,0,3,0,0,0,0,0,0,0,279,467,51,1,0,0,4,87,0
Namibia,44,131,24,7,94,0,0,0,956,1256,163,15,37,21,0,0,0,0,0,0
Nigeria,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Rwanda,0,0,0,0,0,0,0,0,0,0,0,0,124,0,199,4,0,0,0,0
India,0,0,30,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Eswatini,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Switzerland,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
United Arab Emirates,68,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,13,0,0
Uganda,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
United Kingdom,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tanzania, United Republic of",65,1,0,9,0,96,111,0,64,78,211,695,0,0,0,0,0,0,596,0
HHI,0.351901375,0.504051206,0.805098411,0.983448297,0.944322286,0.987644791,0.735118671,0.726132231,0.566852347,0.88786829,0.984501578,0.90553439,0.833441917,0.683888498,0.877098804,0.628468089,0.637455659,0.940728032,0.929978232,0.951515619
